ds,temperatura,humedad,velocidad_viento,precipitacion,nubosidad
2020-01-01,14.104166666666666,83.5,16.7375,0.8,43.875
2020-01-02,16.175,80.79166666666667,10.966666666666667,0.0,0.7083333333333334
2020-01-03,16.599999999999998,89.0,10.391666666666667,2.8000000000000003,75.66666666666667
2020-01-04,14.720833333333333,66.625,20.2,0.2,55.541666666666664
2020-01-05,13.545833333333334,82.25,13.4625,10.1,78.25
2020-01-06,13.612499999999999,78.20833333333333,10.616666666666667,2.2,78.58333333333333
2020-01-07,14.841666666666667,80.95833333333333,25.379166666666666,12.7,87.0
2020-01-08,11.754166666666668,81.25,19.945833333333333,9.8,73.45833333333333
2020-01-09,11.683333333333332,90.66666666666667,13.950000000000001,20.7,92.75
2020-01-10,13.529166666666667,82.04166666666667,6.920833333333333,0.4,72.95833333333333
2020-01-11,14.1625,82.04166666666667,12.625,0.0,19.041666666666668
2020-01-12,14.075000000000001,90.375,19.229166666666668,0.0,62.541666666666664
2020-01-13,14.741666666666667,87.0,8.516666666666667,0.1,82.54166666666667
2020-01-14,13.716666666666667,80.45833333333333,17.154166666666665,12.0,58.041666666666664
2020-01-15,11.9125,69.04166666666667,18.516666666666666,0.5,45.958333333333336
2020-01-16,12.6875,67.41666666666667,27.308333333333334,0.0,36.208333333333336
2020-01-17,14.362499999999999,84.54166666666667,28.041666666666668,0.0,19.708333333333332
2020-01-18,13.933333333333332,86.375,24.366666666666664,0.1,58.458333333333336
2020-01-19,13.308333333333332,81.0,26.854166666666668,0.0,48.416666666666664
2020-01-20,14.504166666666668,83.20833333333333,25.616666666666664,0.0,47.666666666666664
2020-01-21,15.15,87.04166666666667,26.258333333333336,0.0,41.291666666666664
2020-01-22,14.454166666666666,90.75,20.733333333333334,0.0,68.08333333333333
2020-01-23,15.533333333333333,85.875,13.083333333333334,0.4,67.29166666666667
2020-01-24,14.9625,80.33333333333333,7.291666666666667,0.0,46.333333333333336
2020-01-25,16.974999999999998,87.95833333333333,6.458333333333333,8.7,99.25
2020-01-26,15.370833333333332,81.29166666666667,12.504166666666668,1.6,58.125
2020-01-27,16.083333333333332,80.375,6.445833333333333,2.8,57.041666666666664
2020-01-28,14.891666666666666,77.41666666666667,14.174999999999999,11.7,74.83333333333333
2020-01-29,13.516666666666666,65.75,20.395833333333332,1.2,51.041666666666664
2020-01-30,15.299999999999999,76.375,6.908333333333334,1.1,59.875
2020-01-31,17.995833333333334,86.66666666666667,6.258333333333333,7.0,75.25
2020-02-01,17.270833333333332,82.54166666666667,19.2375,10.700000000000001,65.41666666666667
2020-02-02,15.083333333333334,72.875,13.891666666666666,0.0,55.958333333333336
2020-02-03,15.108333333333334,79.75,22.620833333333334,22.900000000000002,65.25
2020-02-04,13.091666666666667,81.875,13.354166666666666,9.9,54.5
2020-02-05,11.554166666666667,78.79166666666667,10.049999999999999,0.9,53.125
2020-02-06,13.370833333333332,74.08333333333333,7.783333333333334,0.0,40.541666666666664
2020-02-07,13.450000000000001,79.875,12.858333333333334,0.0,6.166666666666667
2020-02-08,14.9,79.375,18.98333333333333,0.0,1.7083333333333333
2020-02-09,14.970833333333333,82.95833333333333,13.204166666666666,0.0,34.416666666666664
2020-02-10,14.745833333333332,92.25,13.4375,0.0,51.583333333333336
2020-02-11,15.820833333333333,85.58333333333333,5.3875,0.0,46.291666666666664
2020-02-12,15.470833333333333,79.0,12.429166666666667,9.4,50.416666666666664
2020-02-13,13.745833333333332,78.54166666666667,5.995833333333334,1.0,39.125
2020-02-14,15.091666666666667,80.54166666666667,16.233333333333334,3.5,77.125
2020-02-15,15.3125,89.16666666666667,13.154166666666667,8.5,78.16666666666667
2020-02-16,14.070833333333333,85.0,6.0125,4.5,71.25
2020-02-17,13.620833333333332,80.20833333333333,6.175,1.3,51.875
2020-02-18,14.316666666666668,81.04166666666667,9.5875,1.9,69.25
2020-02-19,13.529166666666667,68.0,24.479166666666668,0.6000000000000001,56.083333333333336
2020-02-20,13.7125,74.66666666666667,23.4375,0.0,6.416666666666667
2020-02-21,18.675,56.75,10.220833333333333,0.0,0.16666666666666666
2020-02-22,18.604166666666668,61.75,5.858333333333333,0.0,0.0
2020-02-23,14.020833333333334,86.5,12.291666666666666,7.199999999999999,73.95833333333333
2020-02-24,12.737499999999999,89.0,8.633333333333333,5.5,86.83333333333333
2020-02-25,13.491666666666667,79.79166666666667,15.683333333333332,1.0,61.916666666666664
2020-02-26,14.375,84.625,23.412499999999998,0.6000000000000001,69.41666666666667
2020-02-27,15.079166666666666,88.58333333333333,20.958333333333332,0.1,81.58333333333333
2020-02-28,15.137500000000001,85.41666666666667,16.891666666666666,0.6000000000000001,55.041666666666664
2020-02-29,14.112499999999999,90.5,20.895833333333332,0.0,42.458333333333336
2020-03-01,14.458333333333334,91.125,14.799999999999999,0.0,68.875
2020-03-02,13.795833333333334,89.08333333333333,15.420833333333334,0.0,70.5
2020-03-03,13.970833333333333,89.79166666666667,7.4875,0.0,61.541666666666664
2020-03-04,14.299999999999999,89.83333333333333,7.0375000000000005,0.0,62.75
2020-03-05,15.1875,93.29166666666667,11.708333333333334,0.0,91.0
2020-03-06,16.3125,86.95833333333333,12.5375,7.8,98.41666666666667
2020-03-07,13.904166666666667,80.70833333333333,7.441666666666666,0.30000000000000004,69.66666666666667
2020-03-08,14.295833333333334,75.875,13.054166666666667,0.0,63.0
2020-03-09,13.708333333333334,83.5,12.35,0.0,43.416666666666664
2020-03-10,16.204166666666666,80.29166666666667,5.05,2.1,80.375
2020-03-11,16.116666666666667,87.33333333333333,8.441666666666666,6.800000000000001,65.875
2020-03-12,16.6125,86.91666666666667,18.841666666666665,14.5,81.08333333333333
2020-03-13,13.966666666666667,82.79166666666667,12.379166666666668,15.6,50.791666666666664
2020-03-14,12.629166666666668,81.66666666666667,9.041666666666666,0.0,13.041666666666666
2020-03-15,13.6,80.125,18.516666666666666,0.0,1.0833333333333333
2020-03-16,15.2125,86.20833333333333,6.925,1.9,77.5
2020-03-17,14.3125,92.45833333333333,12.65,6.6000000000000005,65.25
2020-03-18,12.783333333333333,81.875,17.0125,0.0,45.0
2020-03-19,14.204166666666666,78.20833333333333,12.291666666666666,0.0,47.0
2020-03-20,15.016666666666666,92.20833333333333,9.645833333333334,0.4,82.0
2020-03-21,16.070833333333333,76.5,23.5625,0.5,75.875
2020-03-22,17.083333333333332,59.791666666666664,32.6125,0.0,78.79166666666667
2020-03-23,15.4375,79.625,35.770833333333336,36.4,96.29166666666667
2020-03-24,15.883333333333333,92.29166666666667,11.641666666666666,5.8,46.666666666666664
2020-03-25,13.85,91.375,10.5,0.0,42.208333333333336
2020-03-26,13.533333333333333,91.875,9.570833333333333,0.0,54.791666666666664
2020-03-27,14.35,87.45833333333333,10.329166666666667,3.7,86.58333333333333
2020-03-28,12.933333333333332,88.875,4.216666666666667,1.4000000000000001,71.33333333333333
2020-03-29,11.829166666666666,84.41666666666667,8.233333333333333,0.4,16.75
2020-03-30,12.579166666666666,76.375,18.604166666666668,0.0,3.0833333333333335
2020-03-31,12.708333333333334,82.625,16.045833333333334,0.0,77.625
2020-04-01,12.4375,81.79166666666667,7.6625000000000005,0.0,3.7083333333333335
2020-04-02,12.858333333333334,88.0,17.704166666666666,0.0,8.0
2020-04-03,13.0875,85.04166666666667,17.116666666666667,6.8,80.79166666666667
2020-04-04,11.983333333333334,73.08333333333333,10.612499999999999,0.5,57.833333333333336
2020-04-05,10.883333333333333,87.875,11.195833333333333,7.8,61.041666666666664
2020-04-06,9.479166666666666,80.04166666666667,11.666666666666666,0.2,16.208333333333332
2020-04-07,11.354166666666666,81.25,20.858333333333334,0.0,28.583333333333332
2020-04-08,12.691666666666668,86.625,6.616666666666667,0.0,43.291666666666664
2020-04-09,12.566666666666668,92.58333333333333,4.058333333333334,0.4,86.45833333333333
2020-04-10,12.920833333333334,94.0,12.729166666666666,9.2,92.0
2020-04-11,10.9125,84.45833333333333,10.5,2.4,35.541666666666664
2020-04-12,10.950000000000001,73.41666666666667,11.283333333333333,0.0,18.458333333333332
2020-04-13,11.183333333333332,85.125,4.8500000000000005,0.2,74.58333333333333
2020-04-14,11.637500000000001,85.125,8.304166666666667,2.5,81.41666666666667
2020-04-15,13.9625,80.91666666666667,34.62916666666667,16.8,96.75
2020-04-16,15.612499999999999,85.91666666666667,38.07083333333333,26.7,95.95833333333333
2020-04-17,15.641666666666666,90.08333333333333,32.229166666666664,26.3,98.91666666666667
2020-04-18,15.029166666666667,89.54166666666667,16.691666666666666,3.7,82.54166666666667
2020-04-19,12.512500000000001,85.83333333333333,11.995833333333332,3.4000000000000004,71.45833333333333
2020-04-20,10.5875,86.16666666666667,8.529166666666667,0.8,43.958333333333336
2020-04-21,9.65,80.0,14.9125,0.0,20.083333333333332
2020-04-22,10.095833333333333,93.33333333333333,4.891666666666667,0.0,72.875
2020-04-23,13.133333333333333,83.58333333333333,22.224999999999998,4.5,68.625
2020-04-24,13.799999999999999,80.75,27.629166666666666,3.6999999999999997,80.625
2020-04-25,14.958333333333334,79.33333333333333,24.191666666666666,4.2,88.79166666666667
2020-04-26,13.7125,79.54166666666667,12.995833333333332,0.1,66.66666666666667
2020-04-27,14.066666666666668,80.66666666666667,26.0625,2.4,77.45833333333333
2020-04-28,12.895833333333334,89.375,16.825,1.7000000000000002,56.791666666666664
2020-04-29,12.133333333333333,88.04166666666667,10.9,1.1,77.79166666666667
2020-04-30,12.220833333333333,91.125,10.666666666666666,3.9,80.45833333333333
2020-05-01,12.549999999999999,85.91666666666667,9.745833333333334,0.0,98.375
2020-05-02,13.237499999999999,88.125,21.349999999999998,23.900000000000002,75.20833333333333
2020-05-03,11.841666666666667,91.58333333333333,20.8875,13.0,75.58333333333333
2020-05-04,11.325000000000001,87.375,13.945833333333333,35.199999999999996,60.416666666666664
2020-05-05,8.620833333333334,86.33333333333333,6.908333333333334,0.0,28.541666666666668
2020-05-06,9.145833333333334,87.66666666666667,6.625,0.0,18.208333333333332
2020-05-07,11.145833333333334,91.625,5.175,0.0,93.58333333333333
2020-05-08,13.166666666666666,93.91666666666667,24.395833333333332,26.9,98.625
2020-05-09,11.670833333333334,90.375,25.84583333333333,17.4,80.75
2020-05-10,10.629166666666666,87.79166666666667,17.395833333333332,12.0,60.0
2020-05-11,9.65,93.5,6.0625,3.4,79.83333333333333
2020-05-12,9.570833333333333,94.375,10.070833333333333,7.3,76.83333333333333
2020-05-13,10.504166666666666,86.70833333333333,11.5,0.4,91.66666666666667
2020-05-14,12.570833333333333,91.08333333333333,25.974999999999998,8.5,99.95833333333333
2020-05-15,14.354166666666666,95.45833333333333,24.875,19.9,100.0
2020-05-16,13.958333333333334,93.16666666666667,15.316666666666668,18.0,92.125
2020-05-17,12.0875,87.41666666666667,15.104166666666666,0.0,90.125
2020-05-18,12.745833333333332,90.79166666666667,20.645833333333332,18.6,99.70833333333333
2020-05-19,9.216666666666667,92.75,8.754166666666666,5.4,55.458333333333336
2020-05-20,9.208333333333334,88.79166666666667,11.424999999999999,1.6,51.708333333333336
2020-05-21,7.529166666666666,86.70833333333333,6.5,0.0,13.791666666666666
2020-05-22,8.237499999999999,83.41666666666667,8.083333333333334,0.0,61.25
2020-05-23,10.4625,83.58333333333333,24.712500000000002,11.5,98.04166666666667
2020-05-24,12.608333333333334,93.41666666666667,18.129166666666666,21.5,74.04166666666667
2020-05-25,9.654166666666667,85.95833333333333,6.620833333333334,0.0,24.708333333333332
2020-05-26,11.054166666666667,95.25,11.783333333333333,5.9,71.0
2020-05-27,8.862499999999999,90.83333333333333,4.104166666666667,0.2,53.5
2020-05-28,6.887499999999999,93.125,7.925,3.8,82.125
2020-05-29,5.925,82.875,7.908333333333334,0.0,21.416666666666668
2020-05-30,4.916666666666667,86.79166666666667,8.716666666666667,0.0,40.0
2020-05-31,7.1499999999999995,81.95833333333333,14.404166666666667,0.0,41.166666666666664
2020-06-01,7.716666666666666,91.91666666666667,18.645833333333332,4.7,99.45833333333333
2020-06-02,9.112499999999999,92.04166666666667,14.741666666666667,17.0,60.083333333333336
2020-06-03,6.9624999999999995,86.875,6.841666666666666,0.0,17.5
2020-06-04,7.9375,86.79166666666667,16.900000000000002,0.30000000000000004,85.66666666666667
2020-06-05,10.895833333333334,72.33333333333333,37.2125,0.6,98.66666666666667
2020-06-06,10.15,76.04166666666667,30.8125,15.9,80.75
2020-06-07,9.141666666666667,81.5,30.59166666666667,3.2,57.625
2020-06-08,8.575,85.58333333333333,18.791666666666668,25.2,72.125
2020-06-09,8.966666666666667,85.41666666666667,29.84166666666667,25.2,96.95833333333333
2020-06-10,10.383333333333333,94.45833333333333,21.291666666666668,9.9,99.45833333333333
2020-06-11,10.429166666666667,87.79166666666667,27.133333333333336,31.4,79.33333333333333
2020-06-12,6.875,81.20833333333333,12.525,1.2,48.916666666666664
2020-06-13,7.966666666666666,80.375,19.729166666666668,0.0,96.95833333333333
2020-06-14,9.470833333333333,69.58333333333333,13.491666666666667,0.0,88.75
2020-06-15,10.008333333333333,75.29166666666667,24.03333333333333,1.0,98.08333333333333
2020-06-16,11.341666666666667,80.33333333333333,25.829166666666666,4.7,79.41666666666667
2020-06-17,10.383333333333333,87.875,23.162499999999998,6.0,88.79166666666667
2020-06-18,10.066666666666666,89.83333333333333,31.266666666666666,37.8,79.70833333333333
2020-06-19,8.645833333333334,89.45833333333333,18.025000000000002,9.2,63.041666666666664
2020-06-20,8.208333333333334,91.33333333333333,24.895833333333332,29.7,89.83333333333333
2020-06-21,8.270833333333334,84.91666666666667,23.96666666666667,1.7,74.58333333333333
2020-06-22,7.995833333333334,88.375,22.129166666666666,15.9,70.0
2020-06-23,6.854166666666667,88.45833333333333,23.179166666666664,5.9,82.5
2020-06-24,6.5625,84.95833333333333,11.012500000000001,1.9000000000000001,43.5
2020-06-25,6.3999999999999995,90.75,13.4,2.8000000000000003,82.29166666666667
2020-06-26,5.925,87.41666666666667,12.25,13.8,99.875
2020-06-27,8.066666666666666,75.5,16.3125,3.2,90.79166666666667
2020-06-28,8.075000000000001,64.20833333333333,22.037499999999998,4.9,75.625
2020-06-29,7.6000000000000005,69.41666666666667,12.4375,1.7999999999999998,87.91666666666667
2020-06-30,8.854166666666666,74.375,16.716666666666665,7.9,85.375
2020-07-01,9.408333333333333,89.0,26.133333333333336,15.200000000000001,72.41666666666667
2020-07-02,8.625,94.20833333333333,16.433333333333334,9.1,90.125
2020-07-03,7.741666666666667,93.0,17.033333333333335,17.7,88.45833333333333
2020-07-04,6.941666666666666,90.16666666666667,19.7,5.6000000000000005,80.70833333333333
2020-07-05,6.216666666666666,87.54166666666667,13.370833333333332,0.6,42.541666666666664
2020-07-06,5.166666666666667,85.70833333333333,5.808333333333334,0.0,28.916666666666668
2020-07-07,5.8,72.54166666666667,25.8125,11.4,98.41666666666667
2020-07-08,6.454166666666667,90.33333333333333,14.745833333333332,8.9,91.25
2020-07-09,8.316666666666666,93.33333333333333,25.28333333333333,39.3,99.79166666666667
2020-07-10,6.045833333333333,88.79166666666667,15.049999999999999,10.0,69.20833333333333
2020-07-11,6.420833333333333,86.875,17.854166666666668,6.2,78.70833333333333
2020-07-12,5.375,90.41666666666667,7.8374999999999995,4.8,80.29166666666667
2020-07-13,3.7541666666666664,89.91666666666667,5.620833333333334,0.1,59.166666666666664
2020-07-14,6.0249999999999995,84.25,12.479166666666666,8.7,98.91666666666667
2020-07-15,8.991666666666667,93.875,10.020833333333334,15.8,97.83333333333333
2020-07-16,10.770833333333334,88.70833333333333,22.474999999999998,13.399999999999999,93.875
2020-07-17,9.700000000000001,87.625,28.233333333333334,25.5,93.75
2020-07-18,10.366666666666667,89.79166666666667,33.699999999999996,18.3,89.25
2020-07-19,9.775,86.04166666666667,24.108333333333334,7.800000000000001,79.5
2020-07-20,9.641666666666667,81.5,7.804166666666666,1.4,78.45833333333333
2020-07-21,8.291666666666666,86.125,5.3374999999999995,0.6000000000000001,96.95833333333333
2020-07-22,8.174999999999999,78.875,6.3625,0.1,90.375
2020-07-23,5.566666666666666,68.79166666666667,6.029166666666666,0.0,28.5
2020-07-24,5.2375,86.75,15.2875,1.1,86.95833333333333
2020-07-25,8.820833333333333,93.91666666666667,21.929166666666664,30.900000000000002,99.625
2020-07-26,7.241666666666667,90.54166666666667,11.25,10.5,71.66666666666667
2020-07-27,5.783333333333334,88.20833333333333,6.420833333333333,2.0,68.875
2020-07-28,5.216666666666667,91.16666666666667,6.608333333333333,0.30000000000000004,47.125
2020-07-29,4.720833333333333,91.04166666666667,5.195833333333334,0.0,61.833333333333336
2020-07-30,7.720833333333334,85.0,24.2,6.9,84.0
2020-07-31,10.683333333333332,68.79166666666667,32.9,0.0,94.75
2020-08-01,10.0875,78.0,26.575,22.5,77.95833333333333
2020-08-02,10.283333333333333,83.75,19.25,0.1,50.791666666666664
2020-08-03,9.966666666666667,89.08333333333333,22.866666666666664,15.0,78.83333333333333
2020-08-04,7.358333333333333,90.95833333333333,6.945833333333333,0.0,17.625
2020-08-05,7.520833333333333,88.08333333333333,18.14166666666667,8.3,64.79166666666667
2020-08-06,7.141666666666667,83.95833333333333,17.141666666666666,0.5,66.125
2020-08-07,8.875,77.16666666666667,12.450000000000001,0.0,95.91666666666667
2020-08-08,9.308333333333334,90.5,23.516666666666666,14.8,99.83333333333333
2020-08-09,7.966666666666666,93.04166666666667,14.558333333333332,53.6,96.45833333333333
2020-08-10,5.7124999999999995,82.45833333333333,12.541666666666666,3.7,59.208333333333336
2020-08-11,6.529166666666666,91.83333333333333,11.020833333333334,4.5,87.66666666666667
2020-08-12,7.345833333333334,94.5,12.1625,10.8,91.125
2020-08-13,7.9750000000000005,94.5,14.708333333333334,21.1,98.91666666666667
2020-08-14,5.8,85.91666666666667,17.075,6.7,52.166666666666664
2020-08-15,5.558333333333334,81.5,12.6,1.8,59.125
2020-08-16,7.516666666666667,88.91666666666667,11.5375,6.6000000000000005,82.625
2020-08-17,7.070833333333333,91.66666666666667,13.65,3.3,88.83333333333333
2020-08-18,6.0249999999999995,84.5,12.5875,2.6,57.583333333333336
2020-08-19,4.8,75.91666666666667,12.575000000000001,0.1,21.083333333333332
2020-08-20,6.920833333333333,82.33333333333333,17.020833333333332,0.0,35.833333333333336
2020-08-21,7.108333333333333,90.41666666666667,16.483333333333334,0.0,63.916666666666664
2020-08-22,6.8125,93.66666666666667,6.283333333333332,0.0,74.0
2020-08-23,7.8374999999999995,91.79166666666667,15.954166666666666,3.2,96.0
2020-08-24,7.708333333333333,94.70833333333333,15.433333333333332,16.6,99.54166666666667
2020-08-25,10.004166666666666,80.54166666666667,10.283333333333333,3.1,63.666666666666664
2020-08-26,9.470833333333333,80.08333333333333,22.8,6.6,62.166666666666664
2020-08-27,8.4375,89.29166666666667,16.279166666666665,14.1,96.20833333333333
2020-08-28,6.283333333333334,81.83333333333333,9.929166666666665,10.6,71.91666666666667
2020-08-29,5.2625,84.125,5.870833333333334,0.9,50.75
2020-08-30,6.0125,89.58333333333333,8.479166666666666,0.5,58.416666666666664
2020-08-31,7.770833333333333,85.45833333333333,15.691666666666668,0.0,1.1666666666666667
2020-09-01,9.079166666666667,89.79166666666667,5.608333333333333,0.0,36.208333333333336
2020-09-02,8.141666666666667,91.45833333333333,8.920833333333333,2.7,86.54166666666667
2020-09-03,7.591666666666666,90.08333333333333,9.304166666666667,8.3,73.625
2020-09-04,7.245833333333334,85.66666666666667,11.362499999999999,0.0,85.0
2020-09-05,7.45,89.91666666666667,6.004166666666666,0.0,69.91666666666667
2020-09-06,8.416666666666666,85.0,6.654166666666666,0.0,8.375
2020-09-07,8.591666666666667,81.25,19.537499999999998,0.0,80.41666666666667
