ds,temperatura,humedad,velocidad_viento,precipitacion,nubosidad
2020-01-01,17.329166666666666,79.58333333333333,7.125,0.0,46.208333333333336
2020-01-02,16.595833333333335,77.375,8.591666666666667,0.0,43.541666666666664
2020-01-03,16.945833333333333,75.5,7.754166666666666,0.0,55.166666666666664
2020-01-04,17.416666666666668,78.70833333333333,9.112499999999999,0.1,60.166666666666664
2020-01-05,17.704166666666666,78.125,8.825000000000001,0.2,67.04166666666667
2020-01-06,18.833333333333332,72.91666666666667,8.325000000000001,0.0,10.583333333333334
2020-01-07,19.408333333333335,73.0,8.520833333333334,0.0,1.5833333333333333
2020-01-08,18.712500000000002,74.04166666666667,8.570833333333333,0.0,19.833333333333332
2020-01-09,19.754166666666666,69.70833333333333,7.604166666666667,0.0,0.041666666666666664
2020-01-10,18.895833333333332,76.83333333333333,7.279166666666666,0.0,29.791666666666668
2020-01-11,18.633333333333333,77.70833333333333,6.816666666666666,0.0,47.041666666666664
2020-01-12,18.2375,78.16666666666667,7.7,0.1,47.166666666666664
2020-01-13,18.308333333333334,76.25,8.379166666666666,0.0,45.083333333333336
2020-01-14,18.7,75.29166666666667,9.1625,0.0,71.625
2020-01-15,18.920833333333334,77.875,7.416666666666667,0.0,50.5
2020-01-16,18.216666666666665,80.08333333333333,7.2749999999999995,0.0,39.083333333333336
2020-01-17,18.395833333333332,79.0,6.3125,0.0,83.91666666666667
2020-01-18,18.787499999999998,76.45833333333333,7.591666666666666,0.0,35.708333333333336
2020-01-19,18.979166666666668,75.16666666666667,7.175,0.0,44.875
2020-01-20,19.1125,76.29166666666667,7.995833333333334,0.0,10.833333333333334
2020-01-21,18.962500000000002,78.29166666666667,7.520833333333333,0.0,56.791666666666664
2020-01-22,19.308333333333334,77.16666666666667,6.875,0.1,78.70833333333333
2020-01-23,20.945833333333333,71.41666666666667,7.2375,0.0,63.541666666666664
2020-01-24,21.383333333333336,69.91666666666667,6.658333333333334,0.0,27.666666666666668
2020-01-25,20.520833333333332,82.29166666666667,7.1625000000000005,0.0,42.958333333333336
2020-01-26,20.208333333333332,79.16666666666667,6.6375,0.0,56.75
2020-01-27,19.858333333333334,79.04166666666667,7.579166666666667,0.0,44.875
2020-01-28,20.0125,78.70833333333333,8.358333333333333,0.0,87.41666666666667
2020-01-29,20.470833333333335,72.25,8.375,0.0,50.583333333333336
2020-01-30,19.533333333333335,75.04166666666667,7.733333333333333,0.0,36.041666666666664
2020-01-31,19.287499999999998,75.625,7.3374999999999995,0.0,65.91666666666667
2020-02-01,19.191666666666666,76.875,6.820833333333333,0.0,45.875
2020-02-02,19.408333333333335,80.04166666666667,8.333333333333334,0.0,73.91666666666667
2020-02-03,19.941666666666666,78.08333333333333,7.591666666666666,0.0,44.833333333333336
2020-02-04,19.833333333333332,73.25,7.45,0.0,14.958333333333334
2020-02-05,19.716666666666665,71.70833333333333,8.208333333333334,0.0,4.25
2020-02-06,19.029166666666665,69.875,7.379166666666666,0.0,0.7916666666666666
2020-02-07,18.904166666666665,72.75,7.145833333333333,0.0,8.791666666666666
2020-02-08,18.370833333333334,77.91666666666667,8.0125,0.0,29.083333333333332
2020-02-09,18.445833333333333,78.16666666666667,6.941666666666666,0.0,58.666666666666664
2020-02-10,18.587500000000002,77.875,7.2250000000000005,0.0,47.916666666666664
2020-02-11,19.025000000000002,79.625,7.904166666666666,0.0,58.041666666666664
2020-02-12,19.945833333333333,75.20833333333333,7.291666666666667,0.0,73.66666666666667
2020-02-13,20.320833333333333,74.625,6.620833333333334,0.0,23.916666666666668
2020-02-14,19.016666666666666,74.54166666666667,6.833333333333333,0.0,20.958333333333332
2020-02-15,18.241666666666667,78.45833333333333,7.416666666666667,0.0,30.375
2020-02-16,18.695833333333333,79.41666666666667,8.1375,0.0,43.75
2020-02-17,20.095833333333335,73.5,6.825,0.0,14.75
2020-02-18,19.716666666666665,77.0,6.658333333333334,0.0,25.5
2020-02-19,17.7625,77.04166666666667,8.450000000000001,0.0,39.708333333333336
2020-02-20,17.337500000000002,81.04166666666667,7.620833333333334,0.1,54.958333333333336
2020-02-21,18.0125,77.875,6.533333333333334,0.0,39.625
2020-02-22,18.412499999999998,74.33333333333333,7.020833333333333,0.0,30.833333333333332
2020-02-23,18.120833333333334,74.29166666666667,7.7875000000000005,0.0,23.833333333333332
2020-02-24,18.3625,72.875,6.816666666666666,0.0,11.791666666666666
2020-02-25,18.179166666666667,77.58333333333333,6.904166666666666,0.0,0.75
2020-02-26,18.3625,81.625,6.383333333333333,0.0,28.458333333333332
2020-02-27,18.120833333333334,80.25,5.870833333333334,0.0,55.0
2020-02-28,18.229166666666668,79.625,7.0249999999999995,0.0,31.5
2020-02-29,17.904166666666665,81.83333333333333,7.533333333333334,0.0,56.208333333333336
2020-03-01,18.441666666666666,80.41666666666667,6.3625,0.0,56.625
2020-03-02,18.070833333333333,82.08333333333333,6.641666666666667,0.30000000000000004,60.041666666666664
2020-03-03,17.479166666666668,81.5,7.1000000000000005,0.0,61.958333333333336
2020-03-04,18.095833333333335,81.29166666666667,6.7375,0.0,55.791666666666664
2020-03-05,17.779166666666665,82.66666666666667,7.4125000000000005,0.0,66.0
2020-03-06,18.150000000000002,80.0,6.679166666666667,0.0,53.083333333333336
2020-03-07,18.287499999999998,80.5,6.3625,0.0,42.541666666666664
2020-03-08,19.099999999999998,82.125,6.379166666666666,0.0,35.583333333333336
2020-03-09,18.479166666666668,85.58333333333333,6.833333333333333,0.0,62.875
2020-03-10,18.345833333333335,83.54166666666667,6.216666666666666,0.0,65.70833333333333
2020-03-11,18.670833333333334,80.41666666666667,7.1000000000000005,0.0,45.541666666666664
2020-03-12,18.458333333333332,80.25,5.8125,0.0,35.291666666666664
2020-03-13,18.754166666666666,81.66666666666667,6.391666666666667,0.0,52.833333333333336
2020-03-14,19.016666666666666,80.70833333333333,5.704166666666667,0.0,54.25
2020-03-15,17.279166666666665,83.79166666666667,6.754166666666666,0.0,42.625
2020-03-16,17.366666666666667,78.33333333333333,6.079166666666667,0.1,56.166666666666664
2020-03-17,18.183333333333334,72.58333333333333,6.4624999999999995,0.0,29.916666666666668
2020-03-18,17.974999999999998,77.45833333333333,6.4875,0.0,32.708333333333336
2020-03-19,17.545833333333334,78.75,6.416666666666667,0.0,39.666666666666664
2020-03-20,17.233333333333334,77.79166666666667,6.566666666666666,0.0,63.75
2020-03-21,17.6125,71.54166666666667,6.491666666666667,0.0,60.25
2020-03-22,18.416666666666668,72.04166666666667,6.5,0.0,4.208333333333333
2020-03-23,18.616666666666667,76.625,6.370833333333334,0.0,0.0
2020-03-24,18.183333333333334,80.625,6.491666666666667,0.0,24.416666666666668
2020-03-25,18.329166666666666,79.5,5.591666666666666,0.0,42.875
2020-03-26,17.462500000000002,82.625,5.870833333333334,0.0,58.625
2020-03-27,17.679166666666667,77.41666666666667,5.966666666666666,0.0,21.375
2020-03-28,17.6875,77.91666666666667,6.5375000000000005,0.0,21.416666666666668
2020-03-29,18.224999999999998,80.41666666666667,5.233333333333333,0.0,86.75
2020-03-30,18.0125,85.91666666666667,4.733333333333333,0.0,48.833333333333336
2020-03-31,17.883333333333333,84.54166666666667,4.966666666666667,0.0,56.75
2020-04-01,17.525000000000002,82.41666666666667,5.8875,0.0,48.416666666666664
2020-04-02,16.904166666666665,84.75,7.1625000000000005,0.0,56.791666666666664
2020-04-03,16.645833333333332,85.0,4.7749999999999995,0.0,53.541666666666664
2020-04-04,16.525000000000002,82.54166666666667,5.404166666666666,0.0,88.79166666666667
2020-04-05,17.504166666666666,80.41666666666667,6.504166666666666,0.0,39.208333333333336
2020-04-06,17.662499999999998,81.16666666666667,5.4875,0.1,17.875
2020-04-07,16.883333333333333,84.45833333333333,6.2625,0.0,16.625
2020-04-08,16.291666666666668,82.5,5.3125,0.0,97.54166666666667
2020-04-09,17.0,80.16666666666667,5.633333333333333,0.0,55.708333333333336
2020-04-10,17.254166666666666,79.08333333333333,7.208333333333333,0.0,17.333333333333332
2020-04-11,16.745833333333334,81.16666666666667,6.170833333333333,0.0,63.041666666666664
