anio;mes;dia;barra;tension;valor
2025;1;1;ATACAMA_______220;220;28,93
2025;1;1;CARDONES______220;220;27,35
2025;1;1;CHARRUA_______220;220;23,89
2025;1;1;CRUCERO_______220;220;28,61
2025;1;1;P.AZUCAR______220;220;26,71
2025;1;1;P.MONTT_______220;220;10,88
2025;1;1;QUILLOTA______220;220;26,12
2025;1;1;TARAPACA______220;220;31,82
2025;1;2;ATACAMA_______220;220;67,39
2025;1;2;CARDONES______220;220;64,45
2025;1;2;CHARRUA_______220;220;50,21
2025;1;2;CRUCERO_______220;220;66,63
2025;1;2;P.AZUCAR______220;220;63,32
2025;1;2;P.MONTT_______220;220;49,28
2025;1;2;QUILLOTA______220;220;62,12
2025;1;2;TARAPACA______220;220;62,07
2025;1;3;ATACAMA_______220;220;31,97
2025;1;3;CARDONES______220;220;32,02
2025;1;3;CHARRUA_______220;220;31,61
2025;1;3;CRUCERO_______220;220;31,75
2025;1;3;P.AZUCAR______220;220;32,20
2025;1;3;P.MONTT_______220;220;70,02
2025;1;3;QUILLOTA______220;220;33,14
2025;1;3;TARAPACA______220;220;33,36
2025;1;4;ATACAMA_______220;220;27,91
2025;1;4;CARDONES______220;220;28,15
2025;1;4;CHARRUA_______220;220;27,57
2025;1;4;CRUCERO_______220;220;27,73
2025;1;4;P.AZUCAR______220;220;28,55
2025;1;4;P.MONTT_______220;220;54,28
2025;1;4;QUILLOTA______220;220;28,63
2025;1;4;TARAPACA______220;220;32,71
2025;1;5;ATACAMA_______220;220;48,98
2025;1;5;CARDONES______220;220;47,91
2025;1;5;CHARRUA_______220;220;44,28
2025;1;5;CRUCERO_______220;220;48,70
2025;1;5;P.AZUCAR______220;220;47,74
2025;1;5;P.MONTT_______220;220;59,90
2025;1;5;QUILLOTA______220;220;46,51
2025;1;5;TARAPACA______220;220;53,49
2025;1;6;ATACAMA_______220;220;46,30
2025;1;6;CARDONES______220;220;45,59
2025;1;6;CHARRUA_______220;220;48,78
2025;1;6;CRUCERO_______220;220;45,97
