anio;mes;dia;barra;tension;valor
2025;6;1;ATACAMA_______220;220;64,96
2025;6;1;CARDONES______220;220;64,96
2025;6;1;CHARRUA_______220;220;64,96
2025;6;1;CRUCERO_______220;220;64,96
2025;6;1;P.AZUCAR______220;220;64,96
2025;6;1;P.MONTT_______220;220;54,90
2025;6;1;QUILLOTA______220;220;64,96
2025;6;1;TARAPACA______220;220;64,96
2025;6;2;ATACAMA_______220;220;74,46
2025;6;2;CARDONES______220;220;74,46
2025;6;2;CHARRUA_______220;220;84,19
2025;6;2;CRUCERO_______220;220;74,46
2025;6;2;P.AZUCAR______220;220;74,46
2025;6;2;P.MONTT_______220;220;83,05
2025;6;2;QUILLOTA______220;220;84,19
2025;6;2;TARAPACA______220;220;76,63
2025;6;3;ATACAMA_______220;220;75,66
2025;6;3;CARDONES______220;220;75,66
2025;6;3;CHARRUA_______220;220;83,38
2025;6;3;CRUCERO_______220;220;75,66
2025;6;3;P.AZUCAR______220;220;75,66
2025;6;3;P.MONTT_______220;220;80,84
2025;6;3;QUILLOTA______220;220;83,38
2025;6;3;TARAPACA______220;220;79,60
2025;6;4;ATACAMA_______220;220;74,53
2025;6;4;CARDONES______220;220;74,53
2025;6;4;CHARRUA_______220;220;74,03
2025;6;4;CRUCERO_______220;220;74,53
2025;6;4;P.AZUCAR______220;220;74,53
2025;6;4;P.MONTT_______220;220;74,03
2025;6;4;QUILLOTA______220;220;74,03
2025;6;4;TARAPACA______220;220;72,13
2025;6;5;ATACAMA_______220;220;69,98
2025;6;5;CARDONES______220;220;69,98
2025;6;5;CHARRUA_______220;220;70,85
2025;6;5;CRUCERO_______220;220;69,98
2025;6;5;P.AZUCAR______220;220;69,98
2025;6;5;P.MONTT_______220;220;69,74
2025;6;5;QUILLOTA______220;220;70,85
2025;6;5;TARAPACA______220;220;66,74
2025;6;6;ATACAMA_______220;220;92,90
2025;6;6;CARDONES______220;220;92,90
2025;6;6;CHARRUA_______220;220;103,24
2025;6;6;CRUCERO_______220;220;92,90
2025;6;6;P.AZUCAR______220;220;92,90
2025;6;6;P.MONTT_______220;220;103,24
2025;6;6;QUILLOTA______220;220;103,24
2025;6;6;TARAPACA______220;220;96,18
2025;6;7;ATACAMA_______220;220;62,08
2025;6;7;CARDONES______220;220;62,08
2025;6;7;CHARRUA_______220;220;72,91
2025;6;7;CRUCERO_______220;220;62,08
2025;6;7;P.AZUCAR______220;220;67,05
2025;6;7;P.MONTT_______220;220;72,91
2025;6;7;QUILLOTA______220;220;70,12
2025;6;7;TARAPACA______220;220;64,47
2025;6;8;ATACAMA_______220;220;59,49
2025;6;8;CARDONES______220;220;59,49
2025;6;8;CHARRUA_______220;220;62,23
2025;6;8;CRUCERO_______220;220;59,49
2025;6;8;P.AZUCAR______220;220;59,49
2025;6;8;P.MONTT_______220;220;62,23
2025;6;8;QUILLOTA______220;220;59,49
2025;6;8;TARAPACA______220;220;59,49
2025;6;9;ATACAMA_______220;220;144,68
2025;6;9;CARDONES______220;220;144,68
2025;6;9;CHARRUA_______220;220;160,57
2025;6;9;CRUCERO_______220;220;144,68
2025;6;9;P.AZUCAR______220;220;144,68
2025;6;9;P.MONTT_______220;220;161,61
2025;6;9;QUILLOTA______220;220;161,04
2025;6;9;TARAPACA______220;220;154,55
2025;6;10;ATACAMA_______220;220;197,27
2025;6;10;CARDONES______220;220;197,27
2025;6;10;CHARRUA_______220;220;179,24
