anio;mes;dia;barra;tension;valor
2025;3;1;ATACAMA_______220;220;61,01
2025;3;1;CARDONES______220;220;60,98
2025;3;1;CHARRUA_______220;220;63,53
2025;3;1;CRUCERO_______220;220;63,13
2025;3;1;P.AZUCAR______220;220;63,92
2025;3;1;P.MONTT_______220;220;69,80
2025;3;1;QUILLOTA______220;220;63,71
2025;3;1;TARAPACA______220;220;61,14
2025;3;2;ATACAMA_______220;220;52,35
2025;3;2;CARDONES______220;220;52,07
2025;3;2;CHARRUA_______220;220;48,84
2025;3;2;CRUCERO_______220;220;54,59
2025;3;2;P.AZUCAR______220;220;50,91
2025;3;2;P.MONTT_______220;220;48,68
2025;3;2;QUILLOTA______220;220;49,80
2025;3;2;TARAPACA______220;220;60,44
2025;3;3;ATACAMA_______220;220;71,85
2025;3;3;CARDONES______220;220;69,62
2025;3;3;CHARRUA_______220;220;67,78
2025;3;3;CRUCERO_______220;220;73,52
2025;3;3;P.AZUCAR______220;220;67,13
2025;3;3;P.MONTT_______220;220;74,58
2025;3;3;QUILLOTA______220;220;67,17
2025;3;3;TARAPACA______220;220;78,79
2025;3;4;ATACAMA_______220;220;88,10
2025;3;4;CARDONES______220;220;84,23
2025;3;4;CHARRUA_______220;220;71,78
2025;3;4;CRUCERO_______220;220;88,75
2025;3;4;P.AZUCAR______220;220;72,02
2025;3;4;P.MONTT_______220;220;81,91
2025;3;4;QUILLOTA______220;220;71,63
2025;3;4;TARAPACA______220;220;95,24
2025;3;5;ATACAMA_______220;220;82,57
2025;3;5;CARDONES______220;220;77,48
2025;3;5;CHARRUA_______220;220;69,91
2025;3;5;CRUCERO_______220;220;81,93
2025;3;5;P.AZUCAR______220;220;72,41
2025;3;5;P.MONTT_______220;220;69,75
2025;3;5;QUILLOTA______220;220;70,17
2025;3;5;TARAPACA______220;220;83,98
2025;3;6;ATACAMA_______220;220;85,13
2025;3;6;CARDONES______220;220;83,05
2025;3;6;CHARRUA_______220;220;71,19
2025;3;6;CRUCERO_______220;220;85,71
2025;3;6;P.AZUCAR______220;220;73,64
2025;3;6;P.MONTT_______220;220;75,48
2025;3;6;QUILLOTA______220;220;71,94
2025;3;6;TARAPACA______220;220;92,14
2025;3;7;ATACAMA_______220;220;78,41
2025;3;7;CARDONES______220;220;77,47
2025;3;7;CHARRUA_______220;220;71,37
2025;3;7;CRUCERO_______220;220;79,08
2025;3;7;P.AZUCAR______220;220;71,31
2025;3;7;P.MONTT_______220;220;72,61
2025;3;7;QUILLOTA______220;220;71,95
2025;3;7;TARAPACA______220;220;84,95
2025;3;8;ATACAMA_______220;220;58,69
2025;3;8;CARDONES______220;220;54,97
2025;3;8;CHARRUA_______220;220;47,32
2025;3;8;CRUCERO_______220;220;58,29
2025;3;8;P.AZUCAR______220;220;49,84
2025;3;8;P.MONTT_______220;220;30,95
2025;3;8;QUILLOTA______220;220;48,97
2025;3;8;TARAPACA______220;220;62,15
2025;3;9;ATACAMA_______220;220;53,98
2025;3;9;CARDONES______220;220;50,24
2025;3;9;CHARRUA_______220;220;46,04
2025;3;9;CRUCERO_______220;220;53,60
2025;3;9;P.AZUCAR______220;220;49,90
2025;3;9;P.MONTT_______220;220;40,14
2025;3;9;QUILLOTA______220;220;47,47
2025;3;9;TARAPACA______220;220;56,74
2025;3;10;ATACAMA_______220;220;68,52
2025;3;10;CARDONES______220;220;65,30
2025;3;10;CHARRUA_______220;220;60,56
2025;3;10;CRUCERO_______220;220;68,15
2025;3;10;P.AZUCAR______220;220;63,26
2025;3;10;P.MONTT_______220;220;54,66
2025;3;10;QUILLOTA______220;220;61,78
2025;3;10;TARAPACA______220;220;68,10
2025;3;11;ATACAMA_______220;220;71,04
2025;3;11;CARDONES______220;220;71,17
2025;3;11;CHARRUA_______220;220;64,32
2025;3;11;CRUCERO_______220;220;72,75
2025;3;11;P.AZUCAR______220;220;66,79
2025;3;11;P.MONTT_______220;220;49,51
2025;3;11;QUILLOTA______220;220;65,84
2025;3;11;TARAPACA______220;220;74,60
2025;3;12;ATACAMA_______220;220;80,72
2025;3;12;CARDONES______220;220;81,99
2025;3;12;CHARRUA_______220;220;74,87
2025;3;12;CRUCERO_______220;220;83,60
2025;3;12;P.AZUCAR______220;220;76,88
2025;3;12;P.MONTT_______220;220;68,13
2025;3;12;QUILLOTA______220;220;75,34
2025;3;12;TARAPACA______220;220;77,74
2025;3;13;ATACAMA_______220;220;87,53
2025;3;13;CARDONES______220;220;89,04
2025;3;13;CHARRUA_______220;220;78,13
2025;3;13;CRUCERO_______220;220;91,33
2025;3;13;P.AZUCAR______220;220;82,50
2025;3;13;P.MONTT_______220;220;47,55
2025;3;13;QUILLOTA______220;220;80,00
2025;3;13;TARAPACA______220;220;93,41
2025;3;14;ATACAMA_______220;220;126,03
2025;3;14;CARDONES______220;220;126,43
2025;3;14;CHARRUA_______220;220;114,08
2025;3;14;CRUCERO_______220;220;131,33
2025;3;14;P.AZUCAR______220;220;119,83
2025;3;14;P.MONTT_______220;220;124,43
2025;3;14;QUILLOTA______220;220;115,49
2025;3;14;TARAPACA______220;220;135,97
2025;3;15;ATACAMA_______220;220;98,07
2025;3;15;CARDONES______220;220;98,91
2025;3;15;CHARRUA_______220;220;78,99
2025;3;15;CRUCERO_______220;220;102,35
2025;3;15;P.AZUCAR______220;220;77,85
2025;3;15;P.MONTT_______220;220;86,13
2025;3;15;QUILLOTA______220;220;77,24
2025;3;15;TARAPACA______220;220;99,73
2025;3;16;ATACAMA_______220;220;41,93
2025;3;16;CARDONES______220;220;42,26
2025;3;16;CHARRUA_______220;220;40,19
2025;3;16;CRUCERO_______220;220;43,57
2025;3;16;P.AZUCAR______220;220;40,88
2025;3;16;P.MONTT_______220;220;49,83
2025;3;16;QUILLOTA______220;220;40,25
2025;3;16;TARAPACA______220;220;45,21
2025;3;17;ATACAMA_______220;220;65,70
2025;3;17;CARDONES______220;220;66,33
2025;3;17;CHARRUA_______220;220;69,89
2025;3;17;CRUCERO_______220;220;67,86
2025;3;17;P.AZUCAR______220;220;65,84
2025;3;17;P.MONTT_______220;220;73,83
2025;3;17;QUILLOTA______220;220;69,75
2025;3;17;TARAPACA______220;220;67,64
2025;3;18;ATACAMA_______220;220;67,64
2025;3;18;CARDONES______220;220;68,13
2025;3;18;CHARRUA_______220;220;64,00
2025;3;18;CRUCERO_______220;220;68,74
2025;3;18;P.AZUCAR______220;220;65,89
2025;3;18;P.MONTT_______220;220;86,90
2025;3;18;QUILLOTA______220;220;64,66
2025;3;18;TARAPACA______220;220;72,40
2025;3;19;ATACAMA_______220;220;71,43
2025;3;19;CARDONES______220;220;70,40
2025;3;19;CHARRUA_______220;220;65,92
2025;3;19;CRUCERO_______220;220;72,48
2025;3;19;P.AZUCAR______220;220;69,91
2025;3;19;P.MONTT_______220;220;93,02
2025;3;19;QUILLOTA______220;220;67,07
2025;3;19;TARAPACA______220;220;76,68
2025;3;20;ATACAMA_______220;220;56,57
2025;3;20;CARDONES______220;220;56,23
2025;3;20;CHARRUA_______220;220;53,01
2025;3;20;CRUCERO_______220;220;57,71
2025;3;20;P.AZUCAR______220;220;56,00
2025;3;20;P.MONTT_______220;220;80,98
2025;3;20;QUILLOTA______220;220;54,74
2025;3;20;TARAPACA______220;220;61,22
2025;3;21;ATACAMA_______220;220;49,84
2025;3;21;CARDONES______220;220;51,44
2025;3;21;CHARRUA_______220;220;51,53
2025;3;21;CRUCERO_______220;220;51,25
2025;3;21;P.AZUCAR______220;220;51,99
2025;3;21;P.MONTT_______220;220;61,59
2025;3;21;QUILLOTA______220;220;52,38
2025;3;21;TARAPACA______220;220;66,01
2025;3;22;ATACAMA_______220;220;44,65
2025;3;22;CARDONES______220;220;44,21
2025;3;22;CHARRUA_______220;220;40,93
2025;3;22;CRUCERO_______220;220;45,47
2025;3;22;P.AZUCAR______220;220;43,52
2025;3;22;P.MONTT_______220;220;18,66
2025;3;22;QUILLOTA______220;220;42,62
2025;3;22;TARAPACA______220;220;60,97
2025;3;23;ATACAMA_______220;220;58,45
2025;3;23;CARDONES______220;220;58,48
2025;3;23;CHARRUA_______220;220;55,27
2025;3;23;CRUCERO_______220;220;59,57
2025;3;23;P.AZUCAR______220;220;58,24
2025;3;23;P.MONTT_______220;220;60,09
2025;3;23;QUILLOTA______220;220;57,52
2025;3;23;TARAPACA______220;220;66,08
2025;3;24;ATACAMA_______220;220;85,38
2025;3;24;CARDONES______220;220;91,02
2025;3;24;CHARRUA_______220;220;86,86
2025;3;24;CRUCERO_______220;220;88,98
2025;3;24;P.AZUCAR______220;220;92,47
2025;3;24;P.MONTT_______220;220;115,87
2025;3;24;QUILLOTA______220;220;87,60
2025;3;24;TARAPACA______220;220;115,01
2025;3;25;ATACAMA_______220;220;125,18
2025;3;25;CARDONES______220;220;131,35
2025;3;25;CHARRUA_______220;220;131,73
2025;3;25;CRUCERO_______220;220;126,95
2025;3;25;P.AZUCAR______220;220;129,20
2025;3;25;P.MONTT_______220;220;234,90
2025;3;25;QUILLOTA______220;220;131,19
2025;3;25;TARAPACA______220;220;157,00
2025;3;26;ATACAMA_______220;220;157,79
2025;3;26;CARDONES______220;220;154,19
2025;3;26;CHARRUA_______220;220;145,34
2025;3;26;CRUCERO_______220;220;157,12
2025;3;26;P.AZUCAR______220;220;153,81
2025;3;26;P.MONTT_______220;220;148,26
2025;3;26;QUILLOTA______220;220;145,20
2025;3;26;TARAPACA______220;220;177,24
2025;3;27;ATACAMA_______220;220;94,39
2025;3;27;CARDONES______220;220;97,74
2025;3;27;CHARRUA_______220;220;88,65
2025;3;27;CRUCERO_______220;220;96,80
2025;3;27;P.AZUCAR______220;220;99,26
2025;3;27;P.MONTT_______220;220;116,08
2025;3;27;QUILLOTA______220;220;87,32
2025;3;27;TARAPACA______220;220;116,57
2025;3;28;ATACAMA_______220;220;81,31
2025;3;28;CARDONES______220;220;83,41
2025;3;28;CHARRUA_______220;220;81,98
2025;3;28;CRUCERO_______220;220;83,02
2025;3;28;P.AZUCAR______220;220;84,46
2025;3;28;P.MONTT_______220;220;105,54
2025;3;28;QUILLOTA______220;220;79,75
2025;3;28;TARAPACA______220;220;108,25
2025;3;29;ATACAMA_______220;220;64,34
2025;3;29;CARDONES______220;220;64,04
2025;3;29;CHARRUA_______220;220;61,37
2025;3;29;CRUCERO_______220;220;65,59
2025;3;29;P.AZUCAR______220;220;63,62
2025;3;29;P.MONTT_______220;220;55,97
2025;3;29;QUILLOTA______220;220;62,32
2025;3;29;TARAPACA______220;220;81,83
2025;3;30;ATACAMA_______220;220;58,47
2025;3;30;CARDONES______220;220;57,77
2025;3;30;CHARRUA_______220;220;57,17
2025;3;30;CRUCERO_______220;220;59,17
2025;3;30;P.AZUCAR______220;220;57,46
2025;3;30;P.MONTT_______220;220;57,93
2025;3;30;QUILLOTA______220;220;57,89
2025;3;30;TARAPACA______220;220;65,65
2025;3;31;ATACAMA_______220;220;59,98
2025;3;31;CARDONES______220;220;59,23
2025;3;31;CHARRUA_______220;220;57,52
2025;3;31;CRUCERO_______220;220;61,04
2025;3;31;P.AZUCAR______220;220;58,29
2025;3;31;P.MONTT_______220;220;65,85
2025;3;31;QUILLOTA______220;220;58,62
2025;3;31;TARAPACA______220;220;63,23
