anio;mes;dia;barra;tension;valor
2025;4;1;ATACAMA_______220;220;92,20
2025;4;1;CARDONES______220;220;90,62
2025;4;1;CHARRUA_______220;220;86,63
2025;4;1;CRUCERO_______220;220;92,96
2025;4;1;P.AZUCAR______220;220;90,08
2025;4;1;P.MONTT_______220;220;104,43
2025;4;1;QUILLOTA______220;220;87,24
2025;4;1;TARAPACA______220;220;100,54
2025;4;2;ATACAMA_______220;220;110,13
2025;4;2;CARDONES______220;220;107,97
2025;4;2;CHARRUA_______220;220;103,81
2025;4;2;CRUCERO_______220;220;111,27
2025;4;2;P.AZUCAR______220;220;107,03
2025;4;2;P.MONTT_______220;220;117,35
2025;4;2;QUILLOTA______220;220;104,27
2025;4;2;TARAPACA______220;220;137,33
2025;4;3;ATACAMA_______220;220;96,83
2025;4;3;CARDONES______220;220;93,95
2025;4;3;CHARRUA_______220;220;86,54
2025;4;3;CRUCERO_______220;220;98,42
2025;4;3;P.AZUCAR______220;220;92,20
2025;4;3;P.MONTT_______220;220;110,77
2025;4;3;QUILLOTA______220;220;88,65
2025;4;3;TARAPACA______220;220;106,28
2025;4;4;ATACAMA_______220;220;95,72
2025;4;4;CARDONES______220;220;96,11
2025;4;4;CHARRUA_______220;220;89,62
2025;4;4;CRUCERO_______220;220;98,06
2025;4;4;P.AZUCAR______220;220;96,19
2025;4;4;P.MONTT_______220;220;123,04
2025;4;4;QUILLOTA______220;220;88,46
2025;4;4;TARAPACA______220;220;118,39
2025;4;5;ATACAMA_______220;220;124,40
2025;4;5;CARDONES______220;220;126,08
2025;4;5;CHARRUA_______220;220;124,73
2025;4;5;CRUCERO_______220;220;127,83
2025;4;5;P.AZUCAR______220;220;126,27
2025;4;5;P.MONTT_______220;220;179,46
2025;4;5;QUILLOTA______220;220;123,78
2025;4;5;TARAPACA______220;220;136,45
2025;4;6;ATACAMA_______220;220;111,18
2025;4;6;CARDONES______220;220;111,16
2025;4;6;CHARRUA_______220;220;107,76
2025;4;6;CRUCERO_______220;220;114,40
2025;4;6;P.AZUCAR______220;220;109,94
2025;4;6;P.MONTT_______220;220;111,06
2025;4;6;QUILLOTA______220;220;107,43
2025;4;6;TARAPACA______220;220;122,43
2025;4;7;ATACAMA_______220;220;102,88
2025;4;7;CARDONES______220;220;101,76
2025;4;7;CHARRUA_______220;220;90,39
2025;4;7;CRUCERO_______220;220;105,07
2025;4;7;P.AZUCAR______220;220;92,39
2025;4;7;P.MONTT_______220;220;109,59
2025;4;7;QUILLOTA______220;220;91,22
2025;4;7;TARAPACA______220;220;113,10
2025;4;8;ATACAMA_______220;220;146,77
2025;4;8;CARDONES______220;220;149,24
2025;4;8;CHARRUA_______220;220;153,01
2025;4;8;CRUCERO_______220;220;150,07
2025;4;8;P.AZUCAR______220;220;155,29
2025;4;8;P.MONTT_______220;220;163,20
2025;4;8;QUILLOTA______220;220;155,03
2025;4;8;TARAPACA______220;220;161,25
2025;4;9;ATACAMA_______220;220;147,27
2025;4;9;CARDONES______220;220;150,94
2025;4;9;CHARRUA_______220;220;162,67
2025;4;9;CRUCERO_______220;220;151,45
2025;4;9;P.AZUCAR______220;220;157,19
2025;4;9;P.MONTT_______220;220;168,29
2025;4;9;QUILLOTA______220;220;164,13
2025;4;9;TARAPACA______220;220;163,87
2025;4;10;ATACAMA_______220;220;99,38
2025;4;10;CARDONES______220;220;101,07
2025;4;10;CHARRUA_______220;220;93,40
2025;4;10;CRUCERO_______220;220;102,17
2025;4;10;P.AZUCAR______220;220;101,22
2025;4;10;P.MONTT_______220;220;87,53
2025;4;10;QUILLOTA______220;220;94,10
2025;4;10;TARAPACA______220;220;110,33
2025;4;11;ATACAMA_______220;220;115,93
2025;4;11;CARDONES______220;220;116,62
2025;4;11;CHARRUA_______220;220;112,01
2025;4;11;CRUCERO_______220;220;119,25
2025;4;11;P.AZUCAR______220;220;109,79
2025;4;11;P.MONTT_______220;220;108,73
2025;4;11;QUILLOTA______220;220;111,56
2025;4;11;TARAPACA______220;220;128,55
2025;4;12;ATACAMA_______220;220;88,23
2025;4;12;CARDONES______220;220;88,77
2025;4;12;CHARRUA_______220;220;69,65
2025;4;12;CRUCERO_______220;220;91,07
2025;4;12;P.AZUCAR______220;220;72,38
2025;4;12;P.MONTT_______220;220;74,66
2025;4;12;QUILLOTA______220;220;71,09
2025;4;12;TARAPACA______220;220;98,42
2025;4;13;ATACAMA_______220;220;102,16
2025;4;13;CARDONES______220;220;105,14
2025;4;13;CHARRUA_______220;220;98,42
2025;4;13;CRUCERO_______220;220;105,44
2025;4;13;P.AZUCAR______220;220;98,29
2025;4;13;P.MONTT_______220;220;111,04
2025;4;13;QUILLOTA______220;220;97,70
2025;4;13;TARAPACA______220;220;113,94
2025;4;14;ATACAMA_______220;220;85,77
2025;4;14;CARDONES______220;220;87,38
2025;4;14;CHARRUA_______220;220;91,50
2025;4;14;CRUCERO_______220;220;87,11
2025;4;14;P.AZUCAR______220;220;88,56
2025;4;14;P.MONTT_______220;220;102,18
2025;4;14;QUILLOTA______220;220;91,30
2025;4;14;TARAPACA______220;220;93,85
2025;4;15;ATACAMA_______220;220;93,22
2025;4;15;CARDONES______220;220;95,00
2025;4;15;CHARRUA_______220;220;101,34
2025;4;15;CRUCERO_______220;220;94,87
2025;4;15;P.AZUCAR______220;220;96,16
2025;4;15;P.MONTT_______220;220;106,28
2025;4;15;QUILLOTA______220;220;100,14
2025;4;15;TARAPACA______220;220;102,26
2025;4;16;ATACAMA_______220;220;93,64
2025;4;16;CARDONES______220;220;95,42
2025;4;16;CHARRUA_______220;220;101,38
2025;4;16;CRUCERO_______220;220;95,43
2025;4;16;P.AZUCAR______220;220;96,09
2025;4;16;P.MONTT_______220;220;116,02
2025;4;16;QUILLOTA______220;220;99,99
2025;4;16;TARAPACA______220;220;102,42
2025;4;17;ATACAMA_______220;220;77,03
2025;4;17;CARDONES______220;220;76,77
2025;4;17;CHARRUA_______220;220;77,09
2025;4;17;CRUCERO_______220;220;77,74
2025;4;17;P.AZUCAR______220;220;76,87
2025;4;17;P.MONTT_______220;220;79,77
2025;4;17;QUILLOTA______220;220;77,03
2025;4;17;TARAPACA______220;220;83,55
2025;4;18;ATACAMA_______220;220;82,26
2025;4;18;CARDONES______220;220;82,35
2025;4;18;CHARRUA_______220;220;69,29
2025;4;18;CRUCERO_______220;220;83,78
2025;4;18;P.AZUCAR______220;220;82,19
2025;4;18;P.MONTT_______220;220;70,66
2025;4;18;QUILLOTA______220;220;71,71
2025;4;18;TARAPACA______220;220;89,73
2025;4;19;ATACAMA_______220;220;103,93
2025;4;19;CARDONES______220;220;106,32
2025;4;19;CHARRUA_______220;220;101,42
2025;4;19;CRUCERO_______220;220;106,21
2025;4;19;P.AZUCAR______220;220;107,64
