anio;mes;dia;barra;tension;valor
2025;5;1;ATACAMA_______220;220;65,67
2025;5;1;CARDONES______220;220;64,20
2025;5;1;CHARRUA_______220;220;63,80
2025;5;1;CRUCERO_______220;220;66,02
2025;5;1;P.AZUCAR______220;220;64,17
2025;5;1;P.MONTT_______220;220;64,11
2025;5;1;QUILLOTA______220;220;64,70
2025;5;1;TARAPACA______220;220;67,52
2025;5;2;ATACAMA_______220;220;42,94
2025;5;2;CARDONES______220;220;41,50
2025;5;2;CHARRUA_______220;220;42,43
2025;5;2;CRUCERO_______220;220;43,08
2025;5;2;P.AZUCAR______220;220;41,26
2025;5;2;P.MONTT_______220;220;41,38
2025;5;2;QUILLOTA______220;220;42,74
2025;5;2;TARAPACA______220;220;55,80
2025;5;3;ATACAMA_______220;220;45,30
2025;5;3;CARDONES______220;220;44,41
2025;5;3;CHARRUA_______220;220;44,80
2025;5;3;CRUCERO_______220;220;45,48
2025;5;3;P.AZUCAR______220;220;44,21
2025;5;3;P.MONTT_______220;220;47,20
2025;5;3;QUILLOTA______220;220;45,39
2025;5;3;TARAPACA______220;220;64,89
2025;5;4;ATACAMA_______220;220;58,72
2025;5;4;CARDONES______220;220;56,43
2025;5;4;CHARRUA_______220;220;50,79
2025;5;4;CRUCERO_______220;220;58,99
2025;5;4;P.AZUCAR______220;220;55,16
2025;5;4;P.MONTT_______220;220;54,38
2025;5;4;QUILLOTA______220;220;53,05
2025;5;4;TARAPACA______220;220;67,81
2025;5;5;ATACAMA_______220;220;77,21
2025;5;5;CARDONES______220;220;76,83
2025;5;5;CHARRUA_______220;220;76,42
2025;5;5;CRUCERO_______220;220;76,83
2025;5;5;P.AZUCAR______220;220;76,83
2025;5;5;P.MONTT_______220;220;76,83
2025;5;5;QUILLOTA______220;220;76,83
2025;5;5;TARAPACA______220;220;87,32
2025;5;6;ATACAMA_______220;220;80,24
2025;5;6;CARDONES______220;220;80,24
2025;5;6;CHARRUA_______220;220;81,47
2025;5;6;CRUCERO_______220;220;80,24
2025;5;6;P.AZUCAR______220;220;80,24
2025;5;6;P.MONTT_______220;220;81,67
2025;5;6;QUILLOTA______220;220;81,67
2025;5;6;TARAPACA______220;220;79,24
2025;5;7;ATACAMA_______220;220;72,31
2025;5;7;CARDONES______220;220;72,31
2025;5;7;CHARRUA_______220;220;74,33
2025;5;7;CRUCERO_______220;220;72,31
2025;5;7;P.AZUCAR______220;220;72,31
2025;5;7;P.MONTT_______220;220;74,33
2025;5;7;QUILLOTA______220;220;74,33
2025;5;7;TARAPACA______220;220;72,71
2025;5;8;ATACAMA_______220;220;70,93
2025;5;8;CARDONES______220;220;70,93
2025;5;8;CHARRUA_______220;220;96,51
2025;5;8;CRUCERO_______220;220;70,93
2025;5;8;P.AZUCAR______220;220;70,93
2025;5;8;P.MONTT_______220;220;97,20
2025;5;8;QUILLOTA______220;220;97,20
2025;5;8;TARAPACA______220;220;66,20
2025;5;9;ATACAMA_______220;220;66,85
2025;5;9;CARDONES______220;220;66,57
2025;5;9;CHARRUA_______220;220;66,79
2025;5;9;CRUCERO_______220;220;66,57
2025;5;9;P.AZUCAR______220;220;66,57
2025;5;9;P.MONTT_______220;220;66,79
2025;5;9;QUILLOTA______220;220;66,79
2025;5;9;TARAPACA______220;220;63,07
2025;5;10;ATACAMA_______220;220;54,28
2025;5;10;CARDONES______220;220;53,88
2025;5;10;CHARRUA_______220;220;49,08
2025;5;10;CRUCERO_______220;220;53,88
2025;5;10;P.AZUCAR______220;220;53,88
2025;5;10;P.MONTT_______220;220;28,90
2025;5;10;QUILLOTA______220;220;49,08
2025;5;10;TARAPACA______220;220;53,88
2025;5;11;ATACAMA_______220;220;57,16
2025;5;11;CARDONES______220;220;56,52
2025;5;11;CHARRUA_______220;220;55,57
2025;5;11;CRUCERO_______220;220;56,52
2025;5;11;P.AZUCAR______220;220;56,52
2025;5;11;P.MONTT_______220;220;48,91
2025;5;11;QUILLOTA______220;220;55,57
2025;5;11;TARAPACA______220;220;56,52
2025;5;12;ATACAMA_______220;220;61,63
2025;5;12;CARDONES______220;220;61,63
2025;5;12;CHARRUA_______220;220;64,85
2025;5;12;CRUCERO_______220;220;61,63
2025;5;12;P.AZUCAR______220;220;61,63
2025;5;12;P.MONTT_______220;220;64,85
2025;5;12;QUILLOTA______220;220;64,85
2025;5;12;TARAPACA______220;220;69,31
2025;5;13;ATACAMA_______220;220;80,77
2025;5;13;CARDONES______220;220;82,02
2025;5;13;CHARRUA_______220;220;82,48
2025;5;13;CRUCERO_______220;220;80,77
2025;5;13;P.AZUCAR______220;220;82,02
2025;5;13;P.MONTT_______220;220;81,59
2025;5;13;QUILLOTA______220;220;82,48
2025;5;13;TARAPACA______220;220;79,11
2025;5;14;ATACAMA_______220;220;61,46
2025;5;14;CARDONES______220;220;62,93
2025;5;14;CHARRUA_______220;220;62,93
2025;5;14;CRUCERO_______220;220;61,46
2025;5;14;P.AZUCAR______220;220;62,93
2025;5;14;P.MONTT_______220;220;62,93
2025;5;14;QUILLOTA______220;220;62,93
2025;5;14;TARAPACA______220;220;64,54
2025;5;15;ATACAMA_______220;220;78,00
2025;5;15;CARDONES______220;220;78,35
2025;5;15;CHARRUA_______220;220;77,99
2025;5;15;CRUCERO_______220;220;78,35
2025;5;15;P.AZUCAR______220;220;78,35
2025;5;15;P.MONTT_______220;220;78,35
2025;5;15;QUILLOTA______220;220;78,35
2025;5;15;TARAPACA______220;220;84,40
2025;5;16;ATACAMA_______220;220;68,72
2025;5;16;CARDONES______220;220;69,27
2025;5;16;CHARRUA_______220;220;69,27
2025;5;16;CRUCERO_______220;220;69,27
2025;5;16;P.AZUCAR______220;220;69,27
2025;5;16;P.MONTT_______220;220;53,05
2025;5;16;QUILLOTA______220;220;69,27
2025;5;16;TARAPACA______220;220;67,55
2025;5;17;ATACAMA_______220;220;66,49
2025;5;17;CARDONES______220;220;66,49
2025;5;17;CHARRUA_______220;220;68,42
2025;5;17;CRUCERO_______220;220;66,49
2025;5;17;P.AZUCAR______220;220;66,49
2025;5;17;P.MONTT_______220;220;60,56
2025;5;17;QUILLOTA______220;220;68,42
2025;5;17;TARAPACA______220;220;66,49
2025;5;18;ATACAMA_______220;220;94,23
2025;5;18;CARDONES______220;220;80,69
2025;5;18;CHARRUA_______220;220;83,62
2025;5;18;CRUCERO_______220;220;94,23
2025;5;18;P.AZUCAR______220;220;80,69
2025;5;18;P.MONTT_______220;220;83,62
2025;5;18;QUILLOTA______220;220;83,62
2025;5;18;TARAPACA______220;220;95,39
2025;5;19;ATACAMA_______220;220;66,96
2025;5;19;CARDONES______220;220;66,68
2025;5;19;CHARRUA_______220;220;66,68
2025;5;19;CRUCERO_______220;220;66,68
2025;5;19;P.AZUCAR______220;220;66,68
2025;5;19;P.MONTT_______220;220;66,68
2025;5;19;QUILLOTA______220;220;66,68
2025;5;19;TARAPACA______220;220;69,68
2025;5;20;ATACAMA_______220;220;63,40
2025;5;20;CARDONES______220;220;63,40
2025;5;20;CHARRUA_______220;220;69,49
2025;5;20;CRUCERO_______220;220;63,40
2025;5;20;P.AZUCAR______220;220;63,40
2025;5;20;P.MONTT_______220;220;76,00
2025;5;20;QUILLOTA______220;220;69,49
2025;5;20;TARAPACA______220;220;65,99
2025;5;21;ATACAMA_______220;220;48,35
2025;5;21;CARDONES______220;220;48,27
2025;5;21;CHARRUA_______220;220;48,27
2025;5;21;CRUCERO_______220;220;48,27
2025;5;21;P.AZUCAR______220;220;48,27
2025;5;21;P.MONTT_______220;220;31,82
2025;5;21;QUILLOTA______220;220;48,27
2025;5;21;TARAPACA______220;220;48,27
2025;5;22;ATACAMA_______220;220;68,28
2025;5;22;CARDONES______220;220;68,28
2025;5;22;CHARRUA_______220;220;70,41
2025;5;22;CRUCERO_______220;220;68,28
2025;5;22;P.AZUCAR______220;220;68,28
2025;5;22;P.MONTT_______220;220;72,65
2025;5;22;QUILLOTA______220;220;70,41
2025;5;22;TARAPACA______220;220;68,28
2025;5;23;ATACAMA_______220;220;77,50
2025;5;23;CARDONES______220;220;78,53
2025;5;23;CHARRUA_______220;220;78,53
2025;5;23;CRUCERO_______220;220;78,53
2025;5;23;P.AZUCAR______220;220;78,53
2025;5;23;P.MONTT_______220;220;87,88
2025;5;23;QUILLOTA______220;220;78,53
2025;5;23;TARAPACA______220;220;78,53
2025;5;24;ATACAMA_______220;220;64,16
2025;5;24;CARDONES______220;220;64,37
2025;5;24;CHARRUA_______220;220;64,37
2025;5;24;CRUCERO_______220;220;64,37
2025;5;24;P.AZUCAR______220;220;64,37
2025;5;24;P.MONTT_______220;220;64,37
2025;5;24;QUILLOTA______220;220;64,37
2025;5;24;TARAPACA______220;220;68,75
2025;5;25;ATACAMA_______220;220;56,02
2025;5;25;CARDONES______220;220;56,07
2025;5;25;CHARRUA_______220;220;56,07
2025;5;25;CRUCERO_______220;220;56,07
2025;5;25;P.AZUCAR______220;220;56,07
2025;5;25;P.MONTT_______220;220;34,88
2025;5;25;QUILLOTA______220;220;56,07
2025;5;25;TARAPACA______220;220;56,07
2025;5;26;ATACAMA_______220;220;67,49
2025;5;26;CARDONES______220;220;67,49
2025;5;26;CHARRUA_______220;220;68,41
2025;5;26;CRUCERO_______220;220;67,49
2025;5;26;P.AZUCAR______220;220;67,49
2025;5;26;P.MONTT_______220;220;68,41
2025;5;26;QUILLOTA______220;220;68,41
2025;5;26;TARAPACA______220;220;67,49
2025;5;27;ATACAMA_______220;220;69,12
2025;5;27;CARDONES______220;220;69,12
2025;5;27;CHARRUA_______220;220;72,59
2025;5;27;CRUCERO_______220;220;69,12
2025;5;27;P.AZUCAR______220;220;69,12
2025;5;27;P.MONTT_______220;220;72,59
2025;5;27;QUILLOTA______220;220;72,59
2025;5;27;TARAPACA______220;220;69,12
2025;5;28;ATACAMA_______220;220;61,82
2025;5;28;CARDONES______220;220;61,82
2025;5;28;CHARRUA_______220;220;61,79
2025;5;28;CRUCERO_______220;220;61,82
2025;5;28;P.AZUCAR______220;220;61,82
2025;5;28;P.MONTT_______220;220;51,23
2025;5;28;QUILLOTA______220;220;61,79
2025;5;28;TARAPACA______220;220;61,82
2025;5;29;ATACAMA_______220;220;67,27
2025;5;29;CARDONES______220;220;67,27
2025;5;29;CHARRUA_______220;220;66,37
2025;5;29;CRUCERO_______220;220;67,27
2025;5;29;P.AZUCAR______220;220;67,27
2025;5;29;P.MONTT_______220;220;59,58
2025;5;29;QUILLOTA______220;220;67,27
2025;5;29;TARAPACA______220;220;67,27
2025;5;30;ATACAMA_______220;220;53,57
2025;5;30;CARDONES______220;220;53,57
2025;5;30;CHARRUA_______220;220;55,25
2025;5;30;CRUCERO_______220;220;53,57
2025;5;30;P.AZUCAR______220;220;53,57
2025;5;30;P.MONTT_______220;220;54,47
2025;5;30;QUILLOTA______220;220;55,25
2025;5;30;TARAPACA______220;220;53,57
2025;5;31;ATACAMA_______220;220;53,23
2025;5;31;CARDONES______220;220;53,23
2025;5;31;CHARRUA_______220;220;53,23
2025;5;31;CRUCERO_______220;220;53,23
2025;5;31;P.AZUCAR______220;220;53,23
2025;5;31;P.MONTT_______220;220;85,38
2025;5;31;QUILLOTA______220;220;53,23
2025;5;31;TARAPACA______220;220;53,23
