anio;mes;dia;barra;tension;valor
2025;8;1;ATACAMA_______220;220;38,19
2025;8;1;CARDONES______220;220;38,19
2025;8;1;CHARRUA_______220;220;44,98
2025;8;1;CRUCERO_______220;220;38,19
2025;8;1;P.AZUCAR______220;220;38,19
2025;8;1;P.MONTT_______220;220;49,59
2025;8;1;QUILLOTA______220;220;44,98
2025;8;1;TARAPACA______220;220;36,92
2025;8;2;ATACAMA_______220;220;42,97
2025;8;2;CARDONES______220;220;42,97
2025;8;2;CHARRUA_______220;220;45,44
2025;8;2;CRUCERO_______220;220;42,97
2025;8;2;P.AZUCAR______220;220;42,97
2025;8;2;P.MONTT_______220;220;45,44
2025;8;2;QUILLOTA______220;220;45,44
2025;8;2;TARAPACA______220;220;42,97
2025;8;3;ATACAMA_______220;220;49,45
2025;8;3;CARDONES______220;220;49,45
2025;8;3;CHARRUA_______220;220;50,75
2025;8;3;CRUCERO_______220;220;49,45
2025;8;3;P.AZUCAR______220;220;50,75
2025;8;3;P.MONTT_______220;220;50,43
2025;8;3;QUILLOTA______220;220;50,75
2025;8;3;TARAPACA______220;220;49,45
2025;8;4;ATACAMA_______220;220;49,75
2025;8;4;CARDONES______220;220;49,75
2025;8;4;CHARRUA_______220;220;49,75
2025;8;4;CRUCERO_______220;220;49,75
2025;8;4;P.AZUCAR______220;220;49,75
2025;8;4;P.MONTT_______220;220;50,64
2025;8;4;QUILLOTA______220;220;49,75
2025;8;4;TARAPACA______220;220;49,75
2025;8;5;ATACAMA_______220;220;35,99
2025;8;5;CARDONES______220;220;35,16
2025;8;5;CHARRUA_______220;220;35,16
2025;8;5;CRUCERO_______220;220;35,16
2025;8;5;P.AZUCAR______220;220;35,16
2025;8;5;P.MONTT_______220;220;35,23
2025;8;5;QUILLOTA______220;220;35,16
2025;8;5;TARAPACA______220;220;35,16
2025;8;6;ATACAMA_______220;220;33,66
2025;8;6;CARDONES______220;220;35,93
2025;8;6;CHARRUA_______220;220;35,93
