Experimento,Arq,Barra,Horizonte_h,MAE_modelo,MAE_persistencia24,MASE,skill
h24_bigcap,LN,ATACAMA,1,11.277430672267453,12.352031814895156,0.9130020745791915,0.08699792542080853
h24_bigcap,LN,ATACAMA,2,12.008869964257583,12.352031814895156,0.9722181859810498,0.02778181401895019
h24_bigcap,LN,ATACAMA,3,12.4047594777381,12.352031814895156,1.0042687440927216,-0.004268744092721599
h24_bigcap,LN,ATACAMA,4,12.573713006759501,12.352031814895156,1.0179469414576008,-0.017946941457600785
h24_bigcap,LN,ATACAMA,5,12.590030489039151,12.352031814895156,1.019267977747353,-0.019267977747353005
h24_bigcap,LN,ATACAMA,6,12.632263393884797,12.352031814895156,1.0226870836465716,-0.02268708364657157
h24_bigcap,LN,ATACAMA,7,12.66804675174179,12.352031814895156,1.0255840449233262,-0.02558404492332622
h24_bigcap,LN,ATACAMA,8,12.710213593717196,12.352031814895156,1.0289978024821886,-0.02899780248218864
h24_bigcap,LN,ATACAMA,9,12.732577531400375,12.352031814895156,1.0308083497685234,-0.030808349768523424
h24_bigcap,LN,ATACAMA,10,12.750578076465356,12.352031814895156,1.0322656440286688,-0.03226564402866883
h24_bigcap,LN,ATACAMA,11,12.802006942094392,12.352031814895156,1.0364292396540475,-0.03642923965404754
h24_bigcap,LN,ATACAMA,12,12.86473076795319,12.352031814895156,1.0415072565178936,-0.041507256517893554
h24_bigcap,LN,ATACAMA,13,12.902092981253455,12.352031814895156,1.0445320393115396,-0.044532039311539595
h24_bigcap,LN,ATACAMA,14,12.95326339383331,12.352031814895156,1.048674711006908,-0.0486747110069079
h24_bigcap,LN,ATACAMA,15,12.983009718965983,12.352031814895156,1.0510829241315538,-0.0510829241315538
h24_bigcap,LN,ATACAMA,16,13.00199684382117,12.352031814895156,1.0526200902544818,-0.05262009025448178
h24_bigcap,LN,ATACAMA,17,13.029755499622109,12.352031814895156,1.0548673849681713,-0.05486738496817134
h24_bigcap,LN,ATACAMA,18,13.083110210007717,12.352031814895156,1.0591868937894868,-0.05918689378948683
h24_bigcap,LN,ATACAMA,19,13.141999357420728,12.352031814895156,1.063954461449246,-0.06395446144924599
h24_bigcap,LN,ATACAMA,20,13.255167633428089,12.352031814895156,1.0731163772946126,-0.07311637729461262
h24_bigcap,LN,ATACAMA,21,13.367279678348403,12.352031814895156,1.082192782423777,-0.08219278242377692
h24_bigcap,LN,ATACAMA,22,13.472438059687528,12.352031814895156,1.0907062304876263,-0.09070623048762627
h24_bigcap,LN,ATACAMA,23,13.563914434028897,12.352031814895156,1.0981120059674998,-0.0981120059674998
h24_bigcap,LN,ATACAMA,24,13.61238174063351,12.352031814895156,1.102035838688378,-0.10203583868837796
h24_bigcap,LN,P.MONTT,1,27.546329837411996,37.3280453121234,0.7379526467855391,0.26204735321446093
h24_bigcap,LN,P.MONTT,2,31.904980062290285,37.3280453121234,0.8547187455306744,0.1452812544693256
h24_bigcap,LN,P.MONTT,3,34.47342328321449,37.3280453121234,0.9235260779116717,0.07647392208832826
h24_bigcap,LN,P.MONTT,4,35.799576273651745,37.3280453121234,0.9590530651768353,0.04094693482316469
h24_bigcap,LN,P.MONTT,5,36.65028606915882,37.3280453121234,0.9818431627668309,0.018156837233169076
h24_bigcap,LN,P.MONTT,6,37.35001726065465,37.3280453121234,1.0005886177094871,-0.0005886177094871492
h24_bigcap,LN,P.MONTT,7,37.775648009216795,37.3280453121234,1.0119910564121615,-0.011991056412161472
h24_bigcap,LN,P.MONTT,8,38.12115670072455,37.3280453121234,1.0212470645588174,-0.02124706455881742
h24_bigcap,LN,P.MONTT,9,38.29119317651226,37.3280453121234,1.0258022582306512,-0.025802258230651187
h24_bigcap,LN,P.MONTT,10,38.42979455916156,37.3280453121234,1.029515321196857,-0.02951532119685707
h24_bigcap,LN,P.MONTT,11,38.525720523807564,37.3280453121234,1.0320851306750634,-0.032085130675063356
h24_bigcap,LN,P.MONTT,12,38.56764115608235,37.3280453121234,1.0332081638241142,-0.03320816382411418
h24_bigcap,LN,P.MONTT,13,38.66386497133466,37.3280453121234,1.035785952573772,-0.03578595257377204
h24_bigcap,LN,P.MONTT,14,38.761573159270014,37.3280453121234,1.0384035069385493,-0.038403506938549326
h24_bigcap,LN,P.MONTT,15,38.99695120071555,37.3280453121234,1.044709169061422,-0.04470916906142208
h24_bigcap,LN,P.MONTT,16,39.30982714930911,37.3280453121234,1.05309096205319,-0.05309096205319008
h24_bigcap,LN,P.MONTT,17,39.48938997718736,37.3280453121234,1.0579013620186,-0.05790136201859997
h24_bigcap,LN,P.MONTT,18,39.65528491726552,37.3280453121234,1.062345605982917,-0.06234560598291705
h24_bigcap,LN,P.MONTT,19,39.69206132673189,37.3280453121234,1.0633308279295488,-0.0633308279295488
h24_bigcap,LN,P.MONTT,20,39.88028160464824,37.3280453121234,1.0683731567293164,-0.06837315672931643
h24_bigcap,LN,P.MONTT,21,40.0054983336071,37.3280453121234,1.071727651397115,-0.07172765139711501
h24_bigcap,LN,P.MONTT,22,40.2470485354056,37.3280453121234,1.078198662664347,-0.07819866266434694
h24_bigcap,LN,P.MONTT,23,40.61664201914359,37.3280453121234,1.0880998905654489,-0.08809989056544887
h24_bigcap,LN,P.MONTT,24,40.92441862608789,37.3280453121234,1.0963450746990082,-0.09634507469900822
