Experimento,Arq,Barra,MAE_promedio_24h,MAE_paso1,MAE_paso24,MASE_promedio,skill_promedio
piloto_sin_outliers_h24,LN,ATACAMA,11.57751471778442,9.810251893020302,12.349287073425455,0.9372963809746055,0.06270361902539445
piloto_sin_outliers_h24,LN,CHARRUA,19.68862884484324,14.347908424456513,20.475322543052513,1.0288705147223511,-0.028870514722351137
piloto_sin_outliers_h24,LN,P.AZUCAR,14.146674632769447,11.225012172938944,15.408936514644113,1.0750084511630345,-0.07500845116303445
piloto_sin_outliers_h24,LN,TARAPACA,13.89505963684383,11.44825462225461,14.582758457407259,1.0620585248606151,-0.06205852486061514
