Barra,MAE_actual,MAE_piloto,Delta_MAE_%,MAE_p95_actual,MAE_p95_piloto,Delta_MAE_p95_%,MASE_vs_actual,skill_vs_actual
ATACAMA,6.704690133768496,6.5921151913605875,-1.6790476541327304,32.04060963936312,28.485522698459857,-11.095565848833605,0.9832095234586727,0.01679047654132726
CHARRUA,7.979657979814884,7.988858604017412,0.11530098440060214,28.103194454698677,24.83366202370517,-11.63402415431411,1.001153009844006,-0.0011530098440060144
P.AZUCAR,6.925304676698587,6.585472450449428,-4.90710867050491,30.166188007033014,27.749243121043747,-8.012099127094794,0.9509289132949509,0.049071086705049116
TARAPACA,7.114733068889583,7.122357751069859,0.10716750869566612,35.22938736660509,31.41359951230704,-10.831263724770697,1.0010716750869566,-0.0010716750869566027
