Experimento,Arq,Barra,MAE_promedio_24h,MAE_paso1,MAE_paso24,MASE_promedio,skill_promedio
h24_bigcap,LN,ATACAMA,12.849234592432074,11.277430672267453,13.61238174063351,1.0402527118605174,-0.040252711860517376
h24_bigcap,LN,P.MONTT,37.903275363858064,27.546329837411996,40.92441862608789,1.0154101305579974,-0.015410130557997448
