anio;mes;dia;barra;tension;valor
2024;7;1;ATACAMA_______220;220;34,07
2024;7;1;CARDONES______220;220;30,80
2024;7;1;CHARRUA_______220;220;26,85
2024;7;1;CRUCERO_______220;220;33,42
2024;7;1;P.AZUCAR______220;220;30,67
2024;7;1;P.MONTT_______220;220;19,77
2024;7;1;QUILLOTA______220;220;30,99
2024;7;1;TARAPACA______220;220;35,25
2024;7;2;ATACAMA_______220;220;30,80
2024;7;2;CARDONES______220;220;27,28
2024;7;2;CHARRUA_______220;220;25,00
2024;7;2;CRUCERO_______220;220;29,90
2024;7;2;P.AZUCAR______220;220;27,12
2024;7;2;P.MONTT_______220;220;28,44
2024;7;2;QUILLOTA______220;220;27,53
2024;7;2;TARAPACA______220;220;31,22
2024;7;3;ATACAMA_______220;220;36,41
2024;7;3;CARDONES______220;220;32,24
2024;7;3;CHARRUA_______220;220;29,99
2024;7;3;CRUCERO_______220;220;35,04
2024;7;3;P.AZUCAR______220;220;32,05
2024;7;3;P.MONTT_______220;220;26,98
2024;7;3;QUILLOTA______220;220;32,38
2024;7;3;TARAPACA______220;220;36,79
2024;7;4;ATACAMA_______220;220;43,72
2024;7;4;CARDONES______220;220;44,35
2024;7;4;CHARRUA_______220;220;40,00
2024;7;4;CRUCERO_______220;220;44,14
2024;7;4;P.AZUCAR______220;220;44,01
2024;7;4;P.MONTT_______220;220;27,84
2024;7;4;QUILLOTA______220;220;44,51
2024;7;4;TARAPACA______220;220;46,84
2024;7;5;ATACAMA_______220;220;39,71
2024;7;5;CARDONES______220;220;40,85
2024;7;5;CHARRUA_______220;220;31,94
2024;7;5;CRUCERO_______220;220;40,51
2024;7;5;P.AZUCAR______220;220;40,62
2024;7;5;P.MONTT_______220;220;9,77
2024;7;5;QUILLOTA______220;220;40,68
2024;7;5;TARAPACA______220;220;42,73
2024;7;6;ATACAMA_______220;220;43,06
2024;7;6;CARDONES______220;220;43,02
2024;7;6;CHARRUA_______220;220;30,81
2024;7;6;CRUCERO_______220;220;42,26
2024;7;6;P.AZUCAR______220;220;42,82
2024;7;6;P.MONTT_______220;220;12,98
2024;7;6;QUILLOTA______220;220;42,84
2024;7;6;TARAPACA______220;220;44,82
2024;7;7;ATACAMA_______220;220;36,83
2024;7;7;CARDONES______220;220;35,85
2024;7;7;CHARRUA_______220;220;24,54
2024;7;7;CRUCERO_______220;220;36,78
2024;7;7;P.AZUCAR______220;220;35,63
2024;7;7;P.MONTT_______220;220;5,38
2024;7;7;QUILLOTA______220;220;36,39
2024;7;7;TARAPACA______220;220;39,04
2024;7;8;ATACAMA_______220;220;40,92
2024;7;8;CARDONES______220;220;40,63
2024;7;8;CHARRUA_______220;220;31,22
2024;7;8;CRUCERO_______220;220;40,71
2024;7;8;P.AZUCAR______220;220;40,57
2024;7;8;P.MONTT_______220;220;1,43
2024;7;8;QUILLOTA______220;220;40,99
2024;7;8;TARAPACA______220;220;43,22
2024;7;9;ATACAMA_______220;220;53,89
2024;7;9;CARDONES______220;220;53,94
2024;7;9;CHARRUA_______220;220;46,82
2024;7;9;CRUCERO_______220;220;54,00
2024;7;9;P.AZUCAR______220;220;54,05
2024;7;9;P.MONTT_______220;220;34,00
2024;7;9;QUILLOTA______220;220;54,62
2024;7;9;TARAPACA______220;220;57,03
2024;7;10;ATACAMA_______220;220;44,00
2024;7;10;CARDONES______220;220;44,47
2024;7;10;CHARRUA_______220;220;46,10
2024;7;10;CRUCERO_______220;220;45,34
2024;7;10;P.AZUCAR______220;220;44,58
2024;7;10;P.MONTT_______220;220;45,37
2024;7;10;QUILLOTA______220;220;49,73
2024;7;10;TARAPACA______220;220;48,11
2024;7;11;ATACAMA_______220;220;40,28
2024;7;11;CARDONES______220;220;42,67
2024;7;11;CHARRUA_______220;220;51,34
2024;7;11;CRUCERO_______220;220;41,83
2024;7;11;P.AZUCAR______220;220;42,69
2024;7;11;P.MONTT_______220;220;50,47
2024;7;11;QUILLOTA______220;220;54,25
2024;7;11;TARAPACA______220;220;44,51
2024;7;12;ATACAMA_______220;220;47,79
2024;7;12;CARDONES______220;220;50,12
2024;7;12;CHARRUA_______220;220;57,56
2024;7;12;CRUCERO_______220;220;49,45
