anio;mes;dia;barra;tension;valor
2024;1;19;QUILLOTA______220;220;33,77
2024;1;15;TARAPACA______220;220;38,34
2024;1;16;P.AZUCAR______220;220;32,80
2024;1;18;P.MONTT_______220;220;54,96
2024;1;2;QUILLOTA______220;220;36,80
2024;1;15;CARDONES______220;220;35,85
2024;1;1;P.MONTT_______220;220;36,88
2024;1;2;CHARRUA_______220;220;33,89
2024;1;19;CHARRUA_______220;220;31,54
2024;1;30;CRUCERO_______220;220;45,42
2024;1;21;CRUCERO_______220;220;46,97
2024;1;25;ATACAMA_______220;220;49,43
2024;1;4;CRUCERO_______220;220;43,76
2024;1;8;ATACAMA_______220;220;33,03
2024;1;28;QUILLOTA______220;220;34,92
2024;1;27;P.MONTT_______220;220;135,87
2024;1;7;P.AZUCAR______220;220;33,95
2024;1;23;TARAPACA______220;220;46,42
2024;1;11;QUILLOTA______220;220;27,66
2024;1;10;P.MONTT_______220;220;10,89
2024;1;24;P.AZUCAR______220;220;38,36
2024;1;7;CARDONES______220;220;34,90
2024;1;6;TARAPACA______220;220;51,64
2024;1;24;CARDONES______220;220;39,32
2024;1;11;CHARRUA_______220;220;25,84
2024;1;28;CHARRUA_______220;220;32,89
2024;1;29;CRUCERO_______220;220;65,80
2024;1;17;ATACAMA_______220;220;34,46
2024;1;12;CRUCERO_______220;220;36,22
2024;1;20;QUILLOTA______220;220;35,70
2024;1;3;QUILLOTA______220;220;34,20
2024;1;14;CARDONES______220;220;30,87
2024;1;31;CARDONES______220;220;48,49
2024;1;31;CRUCERO_______220;220;49,64
2024;1;14;CRUCERO_______220;220;32,85
2024;1;3;CHARRUA_______220;220;30,68
2024;1;20;CHARRUA_______220;220;32,43
2024;1;16;TARAPACA______220;220;36,79
2024;1;17;P.AZUCAR______220;220;32,92
2024;1;26;ATACAMA_______220;220;48,86
2024;1;9;ATACAMA_______220;220;35,34
2024;1;29;CHARRUA_______220;220;69,55
2024;1;17;P.MONTT_______220;220;59,57
2024;1;29;QUILLOTA______220;220;72,67
2024;1;5;CARDONES______220;220;46,86
2024;1;12;QUILLOTA______220;220;33,81
2024;1;6;CARDONES______220;220;47,29
2024;1;7;TARAPACA______220;220;37,89
2024;1;26;P.MONTT_______220;220;135,01
2024;1;23;CARDONES______220;220;43,89
2024;1;9;P.MONTT_______220;220;31,67
2024;1;22;CRUCERO_______220;220;74,49
2024;1;8;P.AZUCAR______220;220;30,44
2024;1;24;TARAPACA______220;220;42,16
2024;1;18;ATACAMA_______220;220;36,50
2024;1;12;CHARRUA_______220;220;28,04
2024;1;25;P.AZUCAR______220;220;47,19
2024;1;5;CRUCERO_______220;220;49,21
2024;1;13;CRUCERO_______220;220;36,25
2024;1;1;ATACAMA_______220;220;29,39
2024;1;4;CHARRUA_______220;220;37,95
2024;1;21;CHARRUA_______220;220;32,01
