anio;mes;dia;barra;tension;valor
2024;8;1;ATACAMA_______220;220;59,22
2024;8;1;CARDONES______220;220;56,44
2024;8;1;CHARRUA_______220;220;51,14
2024;8;1;CRUCERO_______220;220;59,07
2024;8;1;P.AZUCAR______220;220;54,98
2024;8;1;P.MONTT_______220;220;117,50
2024;8;1;QUILLOTA______220;220;55,36
2024;8;1;TARAPACA______220;220;61,13
2024;8;2;ATACAMA_______220;220;51,77
2024;8;2;CARDONES______220;220;50,33
2024;8;2;CHARRUA_______220;220;41,98
2024;8;2;CRUCERO_______220;220;52,25
2024;8;2;P.AZUCAR______220;220;49,23
2024;8;2;P.MONTT_______220;220;50,48
2024;8;2;QUILLOTA______220;220;45,77
2024;8;2;TARAPACA______220;220;54,14
2024;8;3;ATACAMA_______220;220;54,57
2024;8;3;CARDONES______220;220;55,47
2024;8;3;CHARRUA_______220;220;52,03
2024;8;3;CRUCERO_______220;220;56,28
2024;8;3;P.AZUCAR______220;220;55,11
2024;8;3;P.MONTT_______220;220;51,86
2024;8;3;QUILLOTA______220;220;56,00
2024;8;3;TARAPACA______220;220;60,60
2024;8;4;ATACAMA_______220;220;50,71
2024;8;4;CARDONES______220;220;53,52
2024;8;4;CHARRUA_______220;220;47,31
2024;8;4;CRUCERO_______220;220;54,14
2024;8;4;P.AZUCAR______220;220;53,01
2024;8;4;P.MONTT_______220;220;37,35
2024;8;4;QUILLOTA______220;220;51,97
2024;8;4;TARAPACA______220;220;57,91
2024;8;5;ATACAMA_______220;220;63,66
2024;8;5;CARDONES______220;220;67,30
2024;8;5;CHARRUA_______220;220;55,10
2024;8;5;CRUCERO_______220;220;66,24
2024;8;5;P.AZUCAR______220;220;68,26
2024;8;5;P.MONTT_______220;220;55,64
2024;8;5;QUILLOTA______220;220;59,33
2024;8;5;TARAPACA______220;220;70,81
2024;8;6;ATACAMA_______220;220;52,04
2024;8;6;CARDONES______220;220;52,88
2024;8;6;CHARRUA_______220;220;55,28
2024;8;6;CRUCERO_______220;220;53,86
2024;8;6;P.AZUCAR______220;220;52,51
2024;8;6;P.MONTT_______220;220;69,54
2024;8;6;QUILLOTA______220;220;59,29
2024;8;6;TARAPACA______220;220;57,69
2024;8;7;ATACAMA_______220;220;49,71
2024;8;7;CARDONES______220;220;49,40
2024;8;7;CHARRUA_______220;220;47,09
2024;8;7;CRUCERO_______220;220;51,11
2024;8;7;P.AZUCAR______220;220;48,42
2024;8;7;P.MONTT_______220;220;70,35
2024;8;7;QUILLOTA______220;220;51,07
2024;8;7;TARAPACA______220;220;54,35
2024;8;8;ATACAMA_______220;220;55,13
2024;8;8;CARDONES______220;220;53,98
2024;8;8;CHARRUA_______220;220;49,08
2024;8;8;CRUCERO_______220;220;56,22
2024;8;8;P.AZUCAR______220;220;52,98
2024;8;8;P.MONTT_______220;220;81,38
2024;8;8;QUILLOTA______220;220;52,83
2024;8;8;TARAPACA______220;220;59,75
2024;8;9;ATACAMA_______220;220;93,56
2024;8;9;CARDONES______220;220;90,15
2024;8;9;CHARRUA_______220;220;81,88
2024;8;9;CRUCERO_______220;220;92,19
2024;8;9;P.AZUCAR______220;220;89,32
2024;8;9;P.MONTT_______220;220;78,19
2024;8;9;QUILLOTA______220;220;88,50
2024;8;9;TARAPACA______220;220;97,48
2024;8;10;ATACAMA_______220;220;60,44
2024;8;10;CARDONES______220;220;60,27
2024;8;10;CHARRUA_______220;220;55,93
2024;8;10;CRUCERO_______220;220;61,79
2024;8;10;P.AZUCAR______220;220;59,48
2024;8;10;P.MONTT_______220;220;59,18
2024;8;10;QUILLOTA______220;220;60,08
2024;8;10;TARAPACA______220;220;65,29
2024;8;11;ATACAMA_______220;220;56,71
2024;8;11;CARDONES______220;220;56,01
2024;8;11;CHARRUA_______220;220;48,79
2024;8;11;CRUCERO_______220;220;58,10
2024;8;11;P.AZUCAR______220;220;54,83
2024;8;11;P.MONTT_______220;220;32,02
2024;8;11;QUILLOTA______220;220;53,75
2024;8;11;TARAPACA______220;220;62,23
2024;8;12;ATACAMA_______220;220;57,63
2024;8;12;CARDONES______220;220;57,86
2024;8;12;CHARRUA_______220;220;52,59
2024;8;12;CRUCERO_______220;220;58,87
2024;8;12;P.AZUCAR______220;220;57,55
2024;8;12;P.MONTT_______220;220;62,47
2024;8;12;QUILLOTA______220;220;56,83
2024;8;12;TARAPACA______220;220;100,04
2024;8;13;ATACAMA_______220;220;49,22
2024;8;13;CARDONES______220;220;50,75
2024;8;13;CHARRUA_______220;220;52,24
2024;8;13;CRUCERO_______220;220;50,49
2024;8;13;P.AZUCAR______220;220;51,49
2024;8;13;P.MONTT_______220;220;55,58
2024;8;13;QUILLOTA______220;220;54,72
2024;8;13;TARAPACA______220;220;53,83
2024;8;14;ATACAMA_______220;220;47,87
2024;8;14;CARDONES______220;220;50,22
2024;8;14;CHARRUA_______220;220;51,97
2024;8;14;CRUCERO_______220;220;49,48
2024;8;14;P.AZUCAR______220;220;51,06
2024;8;14;P.MONTT_______220;220;56,25
2024;8;14;QUILLOTA______220;220;54,25
2024;8;14;TARAPACA______220;220;53,12
2024;8;15;ATACAMA_______220;220;41,41
2024;8;15;CARDONES______220;220;41,69
2024;8;15;CHARRUA_______220;220;40,66
2024;8;15;CRUCERO_______220;220;42,39
2024;8;15;P.AZUCAR______220;220;41,63
2024;8;15;P.MONTT_______220;220;44,28
2024;8;15;QUILLOTA______220;220;43,89
2024;8;15;TARAPACA______220;220;45,88
2024;8;16;ATACAMA_______220;220;48,15
2024;8;16;CARDONES______220;220;47,72
2024;8;16;CHARRUA_______220;220;46,99
2024;8;16;CRUCERO_______220;220;48,68
2024;8;16;P.AZUCAR______220;220;47,42
2024;8;16;P.MONTT_______220;220;78,59
2024;8;16;QUILLOTA______220;220;50,12
2024;8;16;TARAPACA______220;220;55,75
2024;8;17;ATACAMA_______220;220;58,55
2024;8;17;CARDONES______220;220;56,85
2024;8;17;CHARRUA_______220;220;45,87
2024;8;17;CRUCERO_______220;220;58,93
2024;8;17;P.AZUCAR______220;220;55,52
2024;8;17;P.MONTT_______220;220;51,01
2024;8;17;QUILLOTA______220;220;49,80
2024;8;17;TARAPACA______220;220;63,46
2024;8;18;ATACAMA_______220;220;66,78
2024;8;18;CARDONES______220;220;68,37
2024;8;18;CHARRUA_______220;220;63,02
2024;8;18;CRUCERO_______220;220;69,58
2024;8;18;P.AZUCAR______220;220;67,90
2024;8;18;P.MONTT_______220;220;62,05
2024;8;18;QUILLOTA______220;220;67,83
2024;8;18;TARAPACA______220;220;73,65
2024;8;19;ATACAMA_______220;220;70,85
2024;8;19;CARDONES______220;220;72,74
2024;8;19;CHARRUA_______220;220;66,78
2024;8;19;CRUCERO_______220;220;74,24
2024;8;19;P.AZUCAR______220;220;72,41
2024;8;19;P.MONTT_______220;220;70,40
2024;8;19;QUILLOTA______220;220;69,82
2024;8;19;TARAPACA______220;220;73,66
2024;8;20;ATACAMA_______220;220;48,65
2024;8;20;CARDONES______220;220;49,39
2024;8;20;CHARRUA_______220;220;53,64
2024;8;20;CRUCERO_______220;220;50,62
2024;8;20;P.AZUCAR______220;220;49,19
2024;8;20;P.MONTT_______220;220;89,40
2024;8;20;QUILLOTA______220;220;55,14
2024;8;20;TARAPACA______220;220;54,60
2024;8;21;ATACAMA_______220;220;55,78
2024;8;21;CARDONES______220;220;56,73
