anio;mes;dia;barra;tension;valor
2024;6;22;TARAPACA______220;220;72,69
2024;6;5;CARDONES______220;220;67,75
2024;6;23;P.AZUCAR______220;220;30,19
2024;6;26;QUILLOTA______220;220;40,89
2024;6;5;TARAPACA______220;220;68,21
2024;6;6;P.AZUCAR______220;220;55,55
2024;6;25;P.MONTT_______220;220;38,38
2024;6;9;CHARRUA_______220;220;44,11
2024;6;9;QUILLOTA______220;220;47,35
2024;6;22;CARDONES______220;220;66,17
2024;6;26;CHARRUA_______220;220;31,76
2024;6;28;CRUCERO_______220;220;42,85
2024;6;11;CRUCERO_______220;220;62,06
2024;6;15;ATACAMA_______220;220;52,42
2024;6;8;P.MONTT_______220;220;17,22
2024;6;13;TARAPACA______220;220;50,08
2024;6;18;QUILLOTA______220;220;68,42
2024;6;17;P.MONTT_______220;220;37,99
2024;6;14;P.AZUCAR______220;220;53,88
2024;6;14;CARDONES______220;220;52,05
2024;6;30;TARAPACA______220;220;39,96
2024;6;1;CHARRUA_______220;220;47,70
2024;6;1;QUILLOTA______220;220;48,85
2024;6;18;CHARRUA_______220;220;63,79
2024;6;24;ATACAMA_______220;220;54,16
2024;6;19;CRUCERO_______220;220;61,11
2024;6;7;ATACAMA_______220;220;49,09
2024;6;2;CRUCERO_______220;220;55,74
2024;6;4;TARAPACA______220;220;73,62
2024;6;27;QUILLOTA______220;220;44,75
2024;6;6;TARAPACA______220;220;57,78
2024;6;7;P.AZUCAR______220;220;49,13
2024;6;10;QUILLOTA______220;220;58,98
2024;6;21;CARDONES______220;220;59,68
2024;6;10;CHARRUA_______220;220;54,80
2024;6;27;CHARRUA_______220;220;36,21
2024;6;23;TARAPACA______220;220;49,70
2024;6;24;P.AZUCAR______220;220;46,63
2024;6;21;CRUCERO_______220;220;64,65
2024;6;12;CRUCERO_______220;220;46,58
2024;6;16;ATACAMA_______220;220;39,54
2024;6;24;P.MONTT_______220;220;53,56
2024;6;7;P.MONTT_______220;220;38,09
2024;6;12;CARDONES______220;220;45,11
2024;6;14;TARAPACA______220;220;54,56
2024;6;19;QUILLOTA______220;220;59,94
2024;6;15;P.AZUCAR______220;220;53,82
2024;6;13;CARDONES______220;220;46,15
2024;6;2;QUILLOTA______220;220;55,21
2024;6;30;CARDONES______220;220;35,12
2024;6;2;CHARRUA_______220;220;53,76
2024;6;19;CHARRUA_______220;220;55,43
2024;6;29;CRUCERO_______220;220;40,53
2024;6;25;ATACAMA_______220;220;47,19
2024;6;28;CHARRUA_______220;220;37,71
2024;6;20;CRUCERO_______220;220;47,90
2024;6;8;ATACAMA_______220;220;39,95
2024;6;3;CRUCERO_______220;220;64,79
2024;6;16;P.MONTT_______220;220;22,50
2024;6;28;QUILLOTA______220;220;43,52
2024;6;4;CARDONES______220;220;73,47
