anio;mes;dia;barra;tension;valor
2024;10;1;ATACAMA_______220;220;61,14
2024;10;1;CARDONES______220;220;57,98
2024;10;1;CHARRUA_______220;220;52,67
2024;10;1;CRUCERO_______220;220;61,65
2024;10;1;P.AZUCAR______220;220;56,31
2024;10;1;P.MONTT_______220;220;52,31
2024;10;1;QUILLOTA______220;220;57,21
2024;10;1;TARAPACA______220;220;66,65
2024;10;2;ATACAMA_______220;220;55,67
2024;10;2;CARDONES______220;220;53,26
2024;10;2;CHARRUA_______220;220;46,77
2024;10;2;CRUCERO_______220;220;56,92
2024;10;2;P.AZUCAR______220;220;51,47
2024;10;2;P.MONTT_______220;220;43,59
2024;10;2;QUILLOTA______220;220;51,96
2024;10;2;TARAPACA______220;220;61,49
2024;10;3;ATACAMA_______220;220;78,86
2024;10;3;CARDONES______220;220;76,16
2024;10;3;CHARRUA_______220;220;68,41
2024;10;3;CRUCERO_______220;220;78,90
2024;10;3;P.AZUCAR______220;220;74,77
2024;10;3;P.MONTT_______220;220;68,68
2024;10;3;QUILLOTA______220;220;73,77
2024;10;3;TARAPACA______220;220;84,79
2024;10;4;ATACAMA_______220;220;133,03
2024;10;4;CARDONES______220;220;124,73
2024;10;4;CHARRUA_______220;220;104,94
2024;10;4;CRUCERO_______220;220;131,62
2024;10;4;P.AZUCAR______220;220;120,87
2024;10;4;P.MONTT_______220;220;103,09
2024;10;4;QUILLOTA______220;220;114,69
2024;10;4;TARAPACA______220;220;140,87
2024;10;5;ATACAMA_______220;220;63,99
2024;10;5;CARDONES______220;220;59,64
2024;10;5;CHARRUA_______220;220;55,51
2024;10;5;CRUCERO_______220;220;63,05
2024;10;5;P.AZUCAR______220;220;57,96
2024;10;5;P.MONTT_______220;220;51,87
2024;10;5;QUILLOTA______220;220;55,97
2024;10;5;TARAPACA______220;220;67,61
2024;10;6;ATACAMA_______220;220;65,00
2024;10;6;CARDONES______220;220;60,58
2024;10;6;CHARRUA_______220;220;40,52
2024;10;6;CRUCERO_______220;220;64,09
2024;10;6;P.AZUCAR______220;220;58,75
2024;10;6;P.MONTT_______220;220;38,32
2024;10;6;QUILLOTA______220;220;55,23
2024;10;6;TARAPACA______220;220;67,30
2024;10;7;ATACAMA_______220;220;65,26
2024;10;7;CARDONES______220;220;60,81
2024;10;7;CHARRUA_______220;220;42,62
2024;10;7;CRUCERO_______220;220;64,32
2024;10;7;P.AZUCAR______220;220;59,12
2024;10;7;P.MONTT_______220;220;37,77
2024;10;7;QUILLOTA______220;220;56,55
2024;10;7;TARAPACA______220;220;66,94
2024;10;8;ATACAMA_______220;220;143,76
2024;10;8;CARDONES______220;220;136,99
2024;10;8;CHARRUA_______220;220;79,97
2024;10;8;CRUCERO_______220;220;142,88
2024;10;8;P.AZUCAR______220;220;133,58
2024;10;8;P.MONTT_______220;220;102,62
2024;10;8;QUILLOTA______220;220;92,45
2024;10;8;TARAPACA______220;220;149,97
2024;10;9;ATACAMA_______220;220;194,60
2024;10;9;CARDONES______220;220;190,06
2024;10;9;CHARRUA_______220;220;35,03
2024;10;9;CRUCERO_______220;220;197,29
2024;10;9;P.AZUCAR______220;220;185,57
2024;10;9;P.MONTT_______220;220;48,25
2024;10;9;QUILLOTA______220;220;38,10
2024;10;9;TARAPACA______220;220;206,63
2024;10;10;ATACAMA_______220;220;105,17
2024;10;10;CARDONES______220;220;100,27
2024;10;10;CHARRUA_______220;220;53,14
2024;10;10;CRUCERO_______220;220;103,77
2024;10;10;P.AZUCAR______220;220;98,24
2024;10;10;P.MONTT_______220;220;74,70
2024;10;10;QUILLOTA______220;220;58,09
2024;10;10;TARAPACA______220;220;109,27
2024;10;11;ATACAMA_______220;220;64,66
2024;10;11;CARDONES______220;220;59,67
2024;10;11;CHARRUA_______220;220;41,74
2024;10;11;CRUCERO_______220;220;63,61
2024;10;11;P.AZUCAR______220;220;57,85
2024;10;11;P.MONTT_______220;220;56,03
2024;10;11;QUILLOTA______220;220;48,76
2024;10;11;TARAPACA______220;220;65,43
2024;10;12;ATACAMA_______220;220;67,56
2024;10;12;CARDONES______220;220;61,64
2024;10;12;CHARRUA_______220;220;36,43
2024;10;12;CRUCERO_______220;220;66,50
2024;10;12;P.AZUCAR______220;220;59,27
