anio;mes;dia;barra;tension;valor
2024;4;5;CRUCERO_______220;220;40,61
2024;4;17;ATACAMA_______220;220;50,41
2024;4;20;QUILLOTA______220;220;70,44
2024;4;19;P.MONTT_______220;220;85,23
2024;4;7;TARAPACA______220;220;42,28
2024;4;3;QUILLOTA______220;220;59,06
2024;4;2;P.MONTT_______220;220;108,33
2024;4;7;CARDONES______220;220;39,58
2024;4;24;CARDONES______220;220;58,80
2024;4;3;CHARRUA_______220;220;59,14
2024;4;20;CHARRUA_______220;220;69,00
2024;4;24;TARAPACA______220;220;64,76
2024;4;17;P.AZUCAR______220;220;48,92
2024;4;22;CRUCERO_______220;220;83,24
2024;4;29;CHARRUA_______220;220;76,54
2024;4;26;ATACAMA_______220;220;47,55
2024;4;13;CRUCERO_______220;220;69,01
2024;4;9;ATACAMA_______220;220;44,05
2024;4;29;QUILLOTA______220;220;73,69
2024;4;12;QUILLOTA______220;220;51,85
2024;4;15;TARAPACA______220;220;57,34
2024;4;11;P.MONTT_______220;220;104,29
2024;4;8;P.AZUCAR______220;220;43,23
2024;4;16;CARDONES______220;220;47,22
2024;4;25;P.AZUCAR______220;220;40,86
2024;4;28;P.MONTT_______220;220;46,13
2024;4;30;CRUCERO_______220;220;42,83
2024;4;12;CHARRUA_______220;220;122,38
2024;4;21;CHARRUA_______220;220;55,99
2024;4;18;ATACAMA_______220;220;56,72
2024;4;1;ATACAMA_______220;220;46,11
2024;4;9;P.MONTT_______220;220;33,29
2024;4;21;QUILLOTA______220;220;56,93
2024;4;4;QUILLOTA______220;220;41,03
2024;4;6;CARDONES______220;220;44,99
2024;4;18;P.MONTT_______220;220;59,71
2024;4;23;CARDONES______220;220;92,41
2024;4;25;TARAPACA______220;220;46,30
2024;4;18;P.AZUCAR______220;220;55,34
2024;4;23;CRUCERO_______220;220;99,60
2024;4;27;ATACAMA_______220;220;49,66
2024;4;6;CRUCERO_______220;220;46,24
2024;4;8;TARAPACA______220;220;46,40
2024;4;1;P.AZUCAR______220;220;43,80
2024;4;4;CHARRUA_______220;220;40,89
2024;4;10;ATACAMA_______220;220;48,98
2024;4;13;CHARRUA_______220;220;82,43
2024;4;30;CHARRUA_______220;220;44,44
2024;4;1;P.MONTT_______220;220;64,14
2024;4;30;QUILLOTA______220;220;45,55
2024;4;13;QUILLOTA______220;220;69,52
2024;4;27;P.MONTT_______220;220;44,53
2024;4;10;P.MONTT_______220;220;62,88
2024;4;15;CARDONES______220;220;54,32
2024;4;26;P.AZUCAR______220;220;43,98
2024;4;16;TARAPACA______220;220;50,81
2024;4;19;ATACAMA_______220;220;68,23
2024;4;14;CRUCERO_______220;220;79,76
2024;4;2;ATACAMA_______220;220;52,14
2024;4;9;P.AZUCAR______220;220;44,86
2024;4;18;CARDONES______220;220;55,56
2024;4;5;CHARRUA_______220;220;37,72
2024;4;22;CHARRUA_______220;220;87,74
2024;4;18;TARAPACA______220;220;57,95
2024;4;20;CRUCERO_______220;220;65,58
2024;4;3;CRUCERO_______220;220;49,20
2024;4;6;P.AZUCAR______220;220;45,02
2024;4;25;P.MONTT_______220;220;51,97
2024;4;15;ATACAMA_______220;220;54,55
2024;4;8;P.MONTT_______220;220;50,73
2024;4;15;P.AZUCAR______220;220;54,24
2024;4;18;QUILLOTA______220;220;58,91
2024;4;9;TARAPACA______220;220;47,98
2024;4;26;TARAPACA______220;220;49,55
2024;4;1;QUILLOTA______220;220;43,31
2024;4;9;CARDONES______220;220;45,09
2024;4;10;CARDONES______220;220;50,20
2024;4;14;CHARRUA_______220;220;81,27
2024;4;27;CARDONES______220;220;48,31
2024;4;28;CRUCERO_______220;220;67,25
2024;4;24;ATACAMA_______220;220;61,49
