anio;mes;dia;barra;tension;valor
2024;5;3;ATACAMA_______220;220;58,07
2024;5;6;CHARRUA_______220;220;61,29
2024;5;23;CHARRUA_______220;220;121,23
2024;5;23;QUILLOTA______220;220;122,38
2024;5;6;QUILLOTA______220;220;64,14
2024;5;3;P.AZUCAR______220;220;58,06
2024;5;25;CRUCERO_______220;220;124,82
2024;5;27;TARAPACA______220;220;120,55
2024;5;10;CARDONES______220;220;78,30
2024;5;29;ATACAMA_______220;220;88,20
2024;5;20;P.AZUCAR______220;220;65,65
2024;5;8;CRUCERO_______220;220;53,07
2024;5;27;CARDONES______220;220;117,32
2024;5;22;P.MONTT_______220;220;166,63
2024;5;12;ATACAMA_______220;220;52,27
2024;5;10;TARAPACA______220;220;79,94
2024;5;5;P.MONTT_______220;220;65,16
2024;5;28;CARDONES______220;220;96,47
2024;5;15;CHARRUA_______220;220;138,57
2024;5;15;QUILLOTA______220;220;135,08
2024;5;1;TARAPACA______220;220;49,97
2024;5;31;P.MONTT_______220;220;93,37
2024;5;11;P.AZUCAR______220;220;60,36
2024;5;14;P.MONTT_______220;220;115,37
2024;5;28;P.AZUCAR______220;220;97,51
2024;5;21;ATACAMA_______220;220;78,58
2024;5;16;CRUCERO_______220;220;70,17
2024;5;4;ATACAMA_______220;220;52,52
2024;5;19;CARDONES______220;220;55,41
2024;5;18;TARAPACA______220;220;65,69
2024;5;2;CARDONES______220;220;52,52
2024;5;4;P.AZUCAR______220;220;52,88
2024;5;7;CHARRUA_______220;220;118,10
2024;5;24;CHARRUA_______220;220;144,76
2024;5;24;QUILLOTA______220;220;145,05
2024;5;20;TARAPACA______220;220;67,38
2024;5;21;P.AZUCAR______220;220;75,72
2024;5;7;QUILLOTA______220;220;119,16
2024;5;21;P.MONTT_______220;220;80,68
2024;5;4;P.MONTT_______220;220;38,22
2024;5;26;CRUCERO_______220;220;79,60
2024;5;9;CARDONES______220;220;64,02
2024;5;30;ATACAMA_______220;220;61,25
2024;5;9;CRUCERO_______220;220;63,87
2024;5;26;CARDONES______220;220;79,33
2024;5;11;TARAPACA______220;220;64,03
2024;5;13;ATACAMA_______220;220;60,95
2024;5;12;P.AZUCAR______220;220;48,48
2024;5;28;TARAPACA______220;220;98,80
2024;5;16;CHARRUA_______220;220;99,42
2024;5;16;QUILLOTA______220;220;71,39
2024;5;29;P.AZUCAR______220;220;90,34
2024;5;22;ATACAMA_______220;220;126,34
2024;5;17;CRUCERO_______220;220;75,57
2024;5;5;ATACAMA_______220;220;72,39
2024;5;18;CARDONES______220;220;60,96
2024;5;19;TARAPACA______220;220;59,44
2024;5;1;CARDONES______220;220;46,16
2024;5;30;P.MONTT_______220;220;84,76
2024;5;2;TARAPACA______220;220;57,40
2024;5;13;P.MONTT_______220;220;89,10
2024;5;23;CRUCERO_______220;220;108,73
2024;5;21;TARAPACA______220;220;77,55
2024;5;6;CRUCERO_______220;220;68,18
2024;5;21;CARDONES______220;220;75,48
2024;5;4;CARDONES______220;220;53,25
2024;5;18;ATACAMA_______220;220;60,81
2024;5;4;TARAPACA______220;220;58,16
2024;5;1;ATACAMA_______220;220;45,82
2024;5;8;CHARRUA_______220;220;54,78
2024;5;25;CHARRUA_______220;220;148,25
2024;5;1;P.AZUCAR______220;220;45,60
2024;5;21;QUILLOTA______220;220;82,75
2024;5;20;P.MONTT_______220;220;90,46
2024;5;18;P.AZUCAR______220;220;60,82
2024;5;4;QUILLOTA______220;220;52,78
2024;5;3;P.MONTT_______220;220;51,33
2024;5;29;TARAPACA______220;220;93,33
2024;5;31;CRUCERO_______220;220;74,51
2024;5;27;ATACAMA_______220;220;115,54
2024;5;14;CRUCERO_______220;220;107,65
2024;5;13;CARDONES______220;220;60,14
2024;5;12;TARAPACA______220;220;53,48
2024;5;10;ATACAMA_______220;220;79,29
2024;5;30;CARDONES______220;220;63,81
2024;5;17;CHARRUA_______220;220;95,09
2024;5;30;QUILLOTA______220;220;73,69
2024;5;29;P.MONTT_______220;220;121,55
2024;5;9;P.AZUCAR______220;220;64,61
2024;5;13;QUILLOTA______220;220;61,26
2024;5;12;P.MONTT_______220;220;44,79
2024;5;26;P.AZUCAR______220;220;103,75
2024;5;3;TARAPACA______220;220;62,81
2024;5;20;CARDONES______220;220;65,22
2024;5;3;CARDONES______220;220;58,41
2024;5;5;TARAPACA______220;220;73,12
2024;5;19;ATACAMA_______220;220;57,05
2024;5;2;ATACAMA_______220;220;56,41
2024;5;27;P.MONTT_______220;220;168,65
2024;5;10;P.MONTT_______220;220;103,84
2024;5;9;CHARRUA_______220;220;74,59
2024;5;26;CHARRUA_______220;220;103,60
2024;5;22;QUILLOTA______220;220;170,21
2024;5;22;TARAPACA______220;220;128,59
2024;5;5;QUILLOTA______220;220;72,24
2024;5;19;P.MONTT_______220;220;57,89
2024;5;2;P.AZUCAR______220;220;51,31
2024;5;24;CRUCERO_______220;220;111,54
2024;5;11;CARDONES______220;220;60,63
2024;5;28;ATACAMA_______220;220;94,77
2024;5;19;P.AZUCAR______220;220;55,14
2024;5;7;CRUCERO_______220;220;87,08
2024;5;15;CRUCERO_______220;220;125,66
2024;5;12;CARDONES______220;220;49,24
2024;5;13;TARAPACA______220;220;63,78
2024;5;11;ATACAMA_______220;220;63,65
2024;5;29;CARDONES______220;220;89,91
2024;5;2;P.MONTT_______220;220;82,10
2024;5;31;QUILLOTA______220;220;90,47
2024;5;14;QUILLOTA______220;220;109,67
2024;5;30;TARAPACA______220;220;65,31
2024;5;1;CHARRUA_______220;220;44,41
2024;5;18;CHARRUA_______220;220;59,04
2024;5;10;CHARRUA_______220;220;99,35
2024;5;27;CHARRUA_______220;220;169,53
2024;5;28;P.MONTT_______220;220;102,81
2024;5;11;P.MONTT_______220;220;73,51
2024;5;10;P.AZUCAR______220;220;79,24
2024;5;20;ATACAMA_______220;220;68,03
2024;5;27;P.AZUCAR______220;220;119,27
2024;5;7;P.AZUCAR______220;220;88,92
2024;5;21;CRUCERO_______220;220;75,52
2024;5;23;TARAPACA______220;220;112,15
2024;5;4;CRUCERO_______220;220;56,02
2024;5;24;P.AZUCAR______220;220;114,68
2024;5;26;P.MONTT_______220;220;103,55
2024;5;23;CARDONES______220;220;107,80
2024;5;6;CARDONES______220;220;65,96
2024;5;16;ATACAMA_______220;220;70,42
2024;5;6;TARAPACA______220;220;70,72
2024;5;9;P.MONTT_______220;220;73,73
2024;5;2;CHARRUA_______220;220;79,26
2024;5;19;CHARRUA_______220;220;62,71
2024;5;19;QUILLOTA______220;220;63,05
2024;5;2;QUILLOTA______220;220;50,21
2024;5;15;P.AZUCAR______220;220;134,37
2024;5;29;CRUCERO_______220;220;90,47
2024;5;31;TARAPACA______220;220;76,70
2024;5;25;ATACAMA_______220;220;122,92
2024;5;18;P.MONTT_______220;220;57,77
2024;5;12;CRUCERO_______220;220;51,62
2024;5;15;CARDONES______220;220;130,77
2024;5;14;TARAPACA______220;220;110,58
2024;5;1;P.MONTT_______220;220;42,95
2024;5;8;ATACAMA_______220;220;53,92
2024;5;11;CHARRUA_______220;220;72,23
2024;5;28;CHARRUA_______220;220;110,76
2024;5;28;QUILLOTA______220;220;110,93
2024;5;11;QUILLOTA______220;220;72,05
2024;5;25;P.MONTT_______220;220;148,69
2024;5;8;P.MONTT_______220;220;50,10
2024;5;22;CRUCERO_______220;220;125,03
2024;5;5;CRUCERO_______220;220;70,74
2024;5;22;CARDONES______220;220;130,12
2024;5;5;CARDONES______220;220;68,96
2024;5;17;ATACAMA_______220;220;76,03
2024;5;7;TARAPACA______220;220;89,66
2024;5;3;CHARRUA_______220;220;69,25
2024;5;20;CHARRUA_______220;220;94,60
2024;5;20;QUILLOTA______220;220;95,06
2024;5;24;TARAPACA______220;220;114,89
2024;5;17;P.AZUCAR______220;220;78,91
