anio;mes;dia;barra;tension;valor
2023;12;31;ATACAMA_______220;220;35,91
2023;12;14;ATACAMA_______220;220;41,58
2023;12;7;P.MONTT_______220;220;104,64
2023;12;4;CARDONES______220;220;52,94
2023;12;21;TARAPACA______220;220;42,95
2023;12;14;P.AZUCAR______220;220;37,43
2023;12;17;QUILLOTA______220;220;38,74
2023;12;4;TARAPACA______220;220;56,68
2023;12;16;P.MONTT_______220;220;57,01
2023;12;21;CARDONES______220;220;39,55
2023;12;2;CRUCERO_______220;220;35,65
2023;12;17;CHARRUA_______220;220;35,08
2023;12;31;P.AZUCAR______220;220;32,16
2023;12;19;CRUCERO_______220;220;57,37
2023;12;23;ATACAMA_______220;220;50,95
2023;12;6;ATACAMA_______220;220;42,24
2023;12;26;QUILLOTA______220;220;72,78
2023;12;29;TARAPACA______220;220;43,59
2023;12;25;P.MONTT_______220;220;2,61
2023;12;22;P.AZUCAR______220;220;37,62
2023;12;9;QUILLOTA______220;220;19,32
2023;12;12;TARAPACA______220;220;50,44
2023;12;8;P.MONTT_______220;220;8,85
2023;12;13;CARDONES______220;220;47,17
2023;12;5;P.AZUCAR______220;220;33,67
2023;12;30;CARDONES______220;220;41,40
2023;12;10;CRUCERO_______220;220;87,15
2023;12;9;CHARRUA_______220;220;2,95
2023;12;26;CHARRUA_______220;220;54,78
2023;12;27;CRUCERO_______220;220;65,17
2023;12;20;CRUCERO_______220;220;47,29
2023;12;15;ATACAMA_______220;220;47,40
2023;12;23;P.MONTT_______220;220;21,96
2023;12;6;P.MONTT_______220;220;108,78
2023;12;3;CARDONES______220;220;37,50
2023;12;18;QUILLOTA______220;220;45,65
2023;12;5;TARAPACA______220;220;37,03
2023;12;1;QUILLOTA______220;220;32,26
2023;12;20;CARDONES______220;220;44,57
2023;12;1;CHARRUA_______220;220;29,66
2023;12;22;TARAPACA______220;220;41,59
2023;12;3;CRUCERO_______220;220;39,89
2023;12;18;CHARRUA_______220;220;23,65
2023;12;15;P.AZUCAR______220;220;42,61
2023;12;27;CHARRUA_______220;220;57,58
2023;12;24;ATACAMA_______220;220;35,01
2023;12;28;CRUCERO_______220;220;48,69
2023;12;7;ATACAMA_______220;220;42,96
2023;12;15;P.MONTT_______220;220;35,26
2023;12;27;QUILLOTA______220;220;61,38
2023;12;10;QUILLOTA______220;220;16,46
2023;12;13;TARAPACA______220;220;51,52
2023;12;12;CARDONES______220;220;45,91
2023;12;6;P.AZUCAR______220;220;37,40
2023;12;24;P.MONTT_______220;220;9,28
2023;12;29;CARDONES______220;220;40,07
2023;12;30;TARAPACA______220;220;45,62
2023;12;11;CRUCERO_______220;220;49,24
2023;12;10;CHARRUA_______220;220;7,43
2023;12;23;P.AZUCAR______220;220;48,81
2023;12;5;P.MONTT_______220;220;76,76
2023;12;19;CHARRUA_______220;220;51,41
2023;12;20;P.AZUCAR______220;220;43,09
2023;12;29;ATACAMA_______220;220;42,67
2023;12;22;P.MONTT_______220;220;45,96
2023;12;3;P.AZUCAR______220;220;35,99
2023;12;12;ATACAMA_______220;220;49,43
2023;12;29;P.AZUCAR______220;220;39,32
2023;12;17;CRUCERO_______220;220;44,74
2023;12;23;TARAPACA______220;220;52,86
2023;12;6;CARDONES______220;220;38,17
2023;12;15;QUILLOTA______220;220;41,79
2023;12;6;TARAPACA______220;220;43,25
2023;12;23;CARDONES______220;220;49,51
2023;12;2;CHARRUA_______220;220;29,50
2023;12;24;CARDONES______220;220;33,53
2023;12;11;CHARRUA_______220;220;31,53
2023;12;28;CHARRUA_______220;220;47,20
2023;12;28;P.AZUCAR______220;220;45,31
2023;12;31;P.MONTT_______220;220;48,85
2023;12;21;ATACAMA_______220;220;42,98
2023;12;14;P.MONTT_______220;220;15,71
2023;12;4;ATACAMA_______220;220;54,57
2023;12;11;P.AZUCAR______220;220;45,95
2023;12;8;CRUCERO_______220;220;34,98
2023;12;25;CRUCERO_______220;220;34,29
2023;12;24;QUILLOTA______220;220;32,43
2023;12;31;TARAPACA______220;220;36,40
2023;12;7;QUILLOTA______220;220;36,56
2023;12;14;TARAPACA______220;220;41,84
2023;12;15;CARDONES______220;220;43,82
2023;12;21;P.MONTT_______220;220;56,13
2023;12;3;CHARRUA_______220;220;17,34
2023;12;4;P.MONTT_______220;220;25,97
2023;12;16;TARAPACA______220;220;57,91
2023;12;20;CHARRUA_______220;220;39,87
2023;12;30;ATACAMA_______220;220;44,49
2023;12;4;P.AZUCAR______220;220;51,88
2023;12;13;ATACAMA_______220;220;51,38
2023;12;30;P.AZUCAR______220;220;40,34
2023;12;5;CARDONES______220;220;34,33
2023;12;1;CRUCERO_______220;220;35,20
2023;12;16;QUILLOTA______220;220;51,66
2023;12;13;P.AZUCAR______220;220;45,52
2023;12;7;TARAPACA______220;220;43,33
2023;12;18;CRUCERO_______220;220;50,54
2023;12;22;CARDONES______220;220;38,50
2023;12;13;P.MONTT_______220;220;90,42
2023;12;24;TARAPACA______220;220;36,48
2023;12;12;CHARRUA_______220;220;22,59
2023;12;22;ATACAMA_______220;220;40,67
2023;12;29;CHARRUA_______220;220;36,11
2023;12;5;ATACAMA_______220;220;36,30
2023;12;12;P.AZUCAR______220;220;44,37
2023;12;30;P.MONTT_______220;220;57,13
2023;12;25;QUILLOTA______220;220;32,25
2023;12;9;CRUCERO_______220;220;38,52
2023;12;8;QUILLOTA______220;220;30,10
2023;12;21;P.AZUCAR______220;220;38,46
2023;12;15;TARAPACA______220;220;47,77
2023;12;14;CARDONES______220;220;38,46
2023;12;26;CRUCERO_______220;220;75,28
2023;12;31;CARDONES______220;220;33,15
2023;12;17;TARAPACA______220;220;46,11
2023;12;18;P.AZUCAR______220;220;46,04
2023;12;21;QUILLOTA______220;220;38,12
2023;12;20;P.MONTT_______220;220;59,58
2023;12;1;P.AZUCAR______220;220;32,48
2023;12;17;CARDONES______220;220;41,34
2023;12;4;CHARRUA_______220;220;47,80
2023;12;4;QUILLOTA______220;220;51,89
2023;12;6;CRUCERO_______220;220;41,96
2023;12;21;CHARRUA_______220;220;35,52
2023;12;23;CRUCERO_______220;220;51,23
2023;12;27;ATACAMA_______220;220;65,33
2023;12;10;ATACAMA_______220;220;88,91
2023;12;3;P.MONTT_______220;220;0,00
2023;12;30;QUILLOTA______220;220;39,49
2023;12;26;P.AZUCAR______220;220;73,11
2023;12;25;TARAPACA______220;220;35,41
2023;12;29;P.MONTT_______220;220;53,94
2023;12;13;QUILLOTA______220;220;44,66
2023;12;12;P.MONTT_______220;220;75,08
2023;12;8;TARAPACA______220;220;36,05
2023;12;9;CARDONES______220;220;33,18
2023;12;9;P.AZUCAR______220;220;32,09
2023;12;14;CRUCERO_______220;220;40,62
2023;12;26;CARDONES______220;220;73,67
2023;12;13;CHARRUA_______220;220;30,44
2023;12;30;CHARRUA_______220;220;37,01
2023;12;31;CRUCERO_______220;220;35,26
2023;12;19;ATACAMA_______220;220;59,61
2023;12;2;ATACAMA_______220;220;36,41
2023;12;22;QUILLOTA______220;220;37,37
2023;12;16;CARDONES______220;220;53,74
2023;12;2;P.AZUCAR______220;220;32,26
2023;12;5;QUILLOTA______220;220;33,92
2023;12;1;TARAPACA______220;220;36,30
2023;12;5;CHARRUA_______220;220;31,26
2023;12;18;TARAPACA______220;220;52,03
2023;12;7;CRUCERO_______220;220;41,98
2023;12;19;P.AZUCAR______220;220;54,50
2023;12;22;CHARRUA_______220;220;34,69
2023;12;31;CHARRUA_______220;220;29,55
2023;12;28;ATACAMA_______220;220;49,35
2023;12;16;CRUCERO_______220;220;56,25
2023;12;11;ATACAMA_______220;220;50,42
2023;12;19;P.MONTT_______220;220;67,34
2023;12;2;P.MONTT_______220;220;16,85
2023;12;31;QUILLOTA______220;220;31,56
2023;12;7;CARDONES______220;220;37,08
2023;12;14;QUILLOTA______220;220;36,56
2023;12;9;TARAPACA______220;220;39,78
2023;12;8;CARDONES______220;220;30,90
2023;12;10;P.AZUCAR______220;220;81,54
2023;12;28;P.MONTT_______220;220;98,59
2023;12;25;CARDONES______220;220;33,29
2023;12;27;P.AZUCAR______220;220;62,14
2023;12;26;TARAPACA______220;220;77,58
2023;12;15;CRUCERO_______220;220;46,39
2023;12;14;CHARRUA_______220;220;34,18
2023;12;23;CHARRUA_______220;220;45,11
2023;12;20;ATACAMA_______220;220;48,75
2023;12;24;CRUCERO_______220;220;35,27
2023;12;3;ATACAMA_______220;220;40,24
2023;12;11;P.MONTT_______220;220;53,73
2023;12;23;QUILLOTA______220;220;48,41
2023;12;6;QUILLOTA______220;220;37,84
2023;12;16;ATACAMA_______220;220;57,77
2023;12;4;CRUCERO_______220;220;55,00
2023;12;21;CRUCERO_______220;220;41,64
2023;12;19;TARAPACA______220;220;59,06
2023;12;2;CARDONES______220;220;33,53
2023;12;19;QUILLOTA______220;220;55,16
2023;12;2;QUILLOTA______220;220;32,40
2023;12;19;CARDONES______220;220;55,48
2023;12;6;CHARRUA_______220;220;34,79
2023;12;2;TARAPACA______220;220;36,73
2023;12;1;P.MONTT_______220;220;29,40
2023;12;15;CHARRUA_______220;220;38,98
2023;12;16;P.AZUCAR______220;220;52,45
2023;12;25;ATACAMA_______220;220;35,38
2023;12;18;P.MONTT_______220;220;31,23
2023;12;8;ATACAMA_______220;220;35,57
2023;12;12;CRUCERO_______220;220;48,98
2023;12;29;CRUCERO_______220;220;42,24
2023;12;28;QUILLOTA______220;220;50,24
2023;12;27;TARAPACA______220;220;67,21
2023;12;11;QUILLOTA______220;220;45,77
2023;12;10;TARAPACA______220;220;90,01
2023;12;11;CARDONES______220;220;46,98
2023;12;28;CARDONES______220;220;45,81
2023;12;7;CHARRUA_______220;220;21,31
2023;12;24;CHARRUA_______220;220;28,09
2023;12;24;P.AZUCAR______220;220;32,85
2023;12;27;P.MONTT_______220;220;78,37
2023;12;17;ATACAMA_______220;220;44,90
2023;12;10;P.MONTT_______220;220;3,62
2023;12;7;P.AZUCAR______220;220;36,33
2023;12;1;CARDONES______220;220;33,39
2023;12;5;CRUCERO_______220;220;35,84
2023;12;17;P.AZUCAR______220;220;39,70
2023;12;20;QUILLOTA______220;220;42,85
2023;12;3;TARAPACA______220;220;41,12
2023;12;22;CRUCERO_______220;220;40,34
2023;12;18;CARDONES______220;220;47,65
2023;12;3;QUILLOTA______220;220;35,84
2023;12;17;P.MONTT_______220;220;33,16
2023;12;20;TARAPACA______220;220;48,71
2023;12;16;CHARRUA_______220;220;48,05
2023;12;26;ATACAMA_______220;220;78,00
2023;12;9;ATACAMA_______220;220;38,72
2023;12;29;QUILLOTA______220;220;38,55
2023;12;25;P.AZUCAR______220;220;32,74
2023;12;13;CRUCERO_______220;220;50,04
2023;12;12;QUILLOTA______220;220;46,08
2023;12;11;TARAPACA______220;220;50,81
2023;12;30;CRUCERO_______220;220;44,18
2023;12;10;CARDONES______220;220;83,47
2023;12;27;CARDONES______220;220;62,91
2023;12;9;P.MONTT_______220;220;2,42
2023;12;28;TARAPACA______220;220;50,17
2023;12;8;CHARRUA_______220;220;13,02
2023;12;25;CHARRUA_______220;220;25,54
2023;12;18;ATACAMA_______220;220;51,75
2023;12;1;ATACAMA_______220;220;35,85
2023;12;8;P.AZUCAR______220;220;30,05
2023;12;26;P.MONTT_______220;220;120,98
