Barra,n,MAE_TFT,MAE_CEN,RMSE_TFT,RMSE_CEN,Mejora_%
P.MONTT,8298,13.684493049190102,32.984701578925986,25.804360347231487,54.89079058311207,58.51260616548017
CARDONES,8298,6.625576697105363,14.522630731995052,15.606580535765257,24.771105254895833,54.37757236016169
CHARRUA,8298,7.979657482250019,17.01157640065594,15.321814917177885,26.740166449299675,53.09278050244458
CRUCERO,8298,6.742322910416856,17.09781360368781,16.64210883042768,34.745856912333394,60.566169062911
P.AZUCAR,8298,6.925305165443644,15.087264286137776,15.086958730872293,25.489764314439086,54.09833728566261
QUILLOTA,8298,8.26469761105843,17.2574252209351,15.898571015947182,27.50384714115147,52.10932392723065
