Barra,n,L_tft_tau0.2,L_persist_tau0.2,skill_tau0.2,L_tft_tau0.35,L_persist_tau0.35,skill_tau0.35,L_tft_tau0.5,L_persist_tau0.5,skill_tau0.5,L_tft_tau0.65,L_persist_tau0.65,skill_tau0.65,L_tft_tau0.8,L_persist_tau0.8,skill_tau0.8
ATACAMA,8298,3.274216437853701,5.174297421065318,0.3672152620133723,3.313280577679611,5.174305555555556,0.3596666176541887,3.3523447175055225,5.1743136900457944,0.3521179970293117,3.3914088573314336,5.174321824536032,0.34456940013862936,3.4304729971573447,5.174329959026271,0.33702082698202984
CARDONES,8298,3.215549850472765,5.168894191371415,0.3779037195536763,3.2641690995127233,5.168887322246324,0.3684967583905151,3.3127883485526817,5.168880453121234,0.3590897722248052,3.3614075975926405,5.168873583996143,0.3496827610564467,3.4100268466325994,5.1688667148710525,0.34027572488533997
CHARRUA,8298,3.890241371860884,5.1403608098336955,0.24319682688057387,3.940035056492946,5.140370209689082,0.2335114212072945,3.9898287411250095,5.140379609544468,0.2238260509560729,4.039622425757072,5.140389009399855,0.2141407161267156,4.089416110389135,5.140398409255242,0.20445541671902767
CRUCERO,8298,3.3323980518084313,5.213719932513859,0.3608406099785121,3.35177975350843,5.2137414437213785,0.35712582035597606,3.371161455208428,5.213762954928899,0.353411061386775,3.390543156908426,5.213784466136419,0.3496963330705293,3.409924858608424,5.213805977343938,0.3459816354068592
P.AZUCAR,8298,3.4733643346419627,5.189737045071102,0.3307244077152707,3.4680084586818922,5.1897016148469515,0.33175185857305467,3.462652582721822,5.1896661846228005,0.3327793234598002,3.4572967067617517,5.1896307543986495,0.33380680237579496,3.4519408308016812,5.1895953241745,0.33483429532132636
P.MONTT,8298,7.229999915649379,7.097464690286817,-0.01867360122889261,7.0361232201222155,7.09768359845746,0.008673305520215613,6.842246524595051,7.097902506628103,0.0360185254438643,6.64836982906789,7.098121414798747,0.0633620586981195,6.454493133540725,7.098340322969391,0.09070390543902951
QUILLOTA,8298,4.122285710162914,5.202194745721862,0.2075871989311885,4.127317257846063,5.202154254037117,0.20661382644640525,4.132348805529215,5.202113762352374,0.20564043880874594,4.137380353212366,5.202073270667631,0.2046670360178573,4.142411900895517,5.202032778982888,0.20369361807338515
TARAPACA,8298,3.550671875546402,5.528839961436491,0.35779080235415706,3.5540190117424046,5.52881953482767,0.35718303168432475,3.5573661479384078,5.5287991082188475,0.35657525652357347,3.56071328413441,5.528778681610027,0.35596747687185404,3.5640604203304127,5.528758255001205,0.35535969272911605
